#Anderson et al 1995 m1L											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
20	0.389749375	0.165754516	80.08	0.18765	0.015	0	linear	1	yes	mammal	Spaniomys_sp
24	0.372829057	0.161654042	80.29	NA	NA	0.00315	NA	NA	NA	NA	NA
36	0.374360349	0.154574967	82.15	NA	NA	0.03105	NA	NA	NA	NA	NA
15	0.454352382	0.165505208	83.4	NA	NA	0.0498	NA	NA	NA	NA	NA
9	0.463237001	0.168755548	83.92	NA	NA	0.0576	NA	NA	NA	NA	NA
10	0.457298108	0.201691723	85.08	NA	NA	0.075	NA	NA	NA	NA	NA
13	0.459540661	0.151015595	86.72	NA	NA	0.0996	NA	NA	NA	NA	NA
7	0.476785562	0.152745126	86.92	NA	NA	0.1026	NA	NA	NA	NA	NA
30	0.458494241	0.157851462	87.36	NA	NA	0.1092	NA	NA	NA	NA	NA
16	0.478210798	0.155591661	88	NA	NA	0.1188	NA	NA	NA	NA	NA
21	0.463309686	0.17868347	88.35	NA	NA	0.12405	NA	NA	NA	NA	NA
23	0.457916068	0.168192691	88.41	NA	NA	0.12495	NA	NA	NA	NA	NA
15	0.486910836	0.205191735	91.12	NA	NA	0.1656	NA	NA	NA	NA	NA
8	0.47377807	0.167659653	92.59	NA	NA	0.18765	NA	NA	NA	NA	NA
