#Anderson et al 1995 m1w											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
20	0.307066417	0.166596168	80.08	0.18765	0.015	0	linear	1	yes	mammal	Spaniomys_sp
24	0.296981764	0.181776102	80.29	NA	NA	0.00315	NA	NA	NA	NA	NA
36	0.294682077	0.158191994	82.15	NA	NA	0.03105	NA	NA	NA	NA	NA
15	0.385370257	0.201179295	83.4	NA	NA	0.0498	NA	NA	NA	NA	NA
9	0.394144347	0.131884704	83.92	NA	NA	0.0576	NA	NA	NA	NA	NA
10	0.372800794	0.197957189	85.08	NA	NA	0.075	NA	NA	NA	NA	NA
13	0.376838545	0.219631576	86.72	NA	NA	0.0996	NA	NA	NA	NA	NA
7	0.356377663	0.246964133	86.92	NA	NA	0.1026	NA	NA	NA	NA	NA
30	0.358630895	0.18982442	87.36	NA	NA	0.1092	NA	NA	NA	NA	NA
16	0.378901954	0.227904446	88	NA	NA	0.1188	NA	NA	NA	NA	NA
21	0.365842491	0.184478947	88.35	NA	NA	0.12405	NA	NA	NA	NA	NA
23	0.36479576	0.181678746	88.41	NA	NA	0.12495	NA	NA	NA	NA	NA
15	0.381847233	0.1799484	91.12	NA	NA	0.1656	NA	NA	NA	NA	NA
8	0.364298989	0.175508453	92.59	NA	NA	0.18765	NA	NA	NA	NA	NA
