#Baufauk 1986 Aubeterre I Lo											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
31	0.32393	0.001761933	-5.4945	2.5	0.137050133	0	linear	1	no	foram	Orbitoides_media
11	0.29632	0.00280585	-4.5238	NA	NA	0.133034564	NA	NA	NA	NA	NA
13	0.3161	0.001715054	-3.5531	NA	NA	0.266069128	NA	NA	NA	NA	NA
31	0.33589	0.00176011	-2.5641	NA	NA	0.40161171	NA	NA	NA	NA	NA
28	0.33359	0.004938058	-0.56777	NA	NA	0.675209001	NA	NA	NA	NA	NA
24	0.32531	0.0049466	0.42125	NA	NA	0.810754324	NA	NA	NA	NA	NA
34	0.33405	0.003074045	0.91575	NA	NA	0.878525615	NA	NA	NA	NA	NA
31	0.34969	0.003594665	1.9231	NA	NA	1.016583066	NA	NA	NA	NA	NA
33	0.32899	0.004085841	2.9304	NA	NA	1.154633665	NA	NA	NA	NA	NA
41	0.32301	0.002917836	3.9011	NA	NA	1.287668229	NA	NA	NA	NA	NA
28	0.31334	0.003693963	4.8718	NA	NA	1.420702793	NA	NA	NA	NA	NA
39	0.35844	0.003140956	5.8608	NA	NA	1.556245375	NA	NA	NA	NA	NA
39	0.36626	0.003267795	6.8681	NA	NA	1.694295973	NA	NA	NA	NA	NA
28	0.3681	0.004169972	7.8205	NA	NA	1.82482252	NA	NA	NA	NA	NA
27	0.39939	0.002443157	9.304	NA	NA	2.028136392	NA	NA	NA	NA	NA
22	0.42883	0.0056117	10.293	NA	NA	2.163678974	NA	NA	NA	NA	NA
30	0.41365	0.004464972	11.282	NA	NA	2.299221555	NA	NA	NA	NA	NA
22	0.40399	0.004999029	12.216	NA	NA	2.427226379	NA	NA	NA	NA	NA
30	0.40491	0.010050469	12.747	NA	NA	2.5	NA	NA	NA	NA	NA
