#Baumfauk 1986 Aubeterre I mC													
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species		
31	5.5423	0.058308951	-5.348	2.5	0.137756227	0	linear	1	no	foram	Orbitoides_media		
11	5.5449	0.092640416	-4.3407	NA	NA	0.138761847	NA	NA	NA	NA	NA		
13	5.5864	0.105976434	-3.37	NA	NA	0.272481816	NA	NA	NA	NA	NA		
31	5.5334	0.043729874	-2.3993	NA	NA	0.406201785	NA	NA	NA	NA	NA		
28	5.6701	0.047405301	-3.85E-01	NA	NA	0.683684153	NA	NA	NA	NA	NA		
24	5.543	0.048112617	5.68E-01	NA	NA	0.814965836	NA	NA	NA	NA	NA		
34	5.5527	0.05965563	1.0806	NA	NA	0.885579678	NA	NA	NA	NA	NA		
31	5.5626	0.045379914	2.033	NA	NA	1.016778708	NA	NA	NA	NA	NA		
33	5.5948	0.050197016	3.0403	NA	NA	1.155540555	NA	NA	NA	NA	NA		
41	5.4678	0.064758411	4.0293	NA	NA	1.291781464	NA	NA	NA	NA	NA		
28	5.5334	0.029553709	5.0549	NA	NA	1.43306425	NA	NA	NA	NA	NA		
39	5.5841	0.041164095	6.0073	NA	NA	1.56426328	NA	NA	NA	NA	NA		
39	5.5552	0.055015003	6.9963	NA	NA	1.700504188	NA	NA	NA	NA	NA		
28	5.593	0.049219695	8.0037	NA	NA	1.83927981	NA	NA	NA	NA	NA		
27	5.3866	0.069088804	9.4322	NA	NA	2.03606458	NA	NA	NA	NA	NA		
22	5.2503	0.048510931	10.4	NA	NA	2.169385056	NA	NA	NA	NA	NA		
30	5.1825	0.027621319	11.4	NA	NA	2.307141283	NA	NA	NA	NA	NA		
22	5.3295	0.057867956	12.3	NA	NA	2.431121887	NA	NA	NA	NA	NA		
30	5.2669	0.09046707	12.8	NA	NA	2.5	NA	NA	NA	NA	NA		
