N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	8.2	0.509796	0	0.107667	NA	0	linear	1	no	fish	Gasterosteus_doryssu
30	7.77	0.529984	5317	NA	NA	0.005317	NA	NA	NA	NA	NA
26	7.77	0.264196	9950	NA	NA	0.00995	NA	NA	NA	NA	NA
37	7.89	0.654481	15182	NA	NA	0.015182	NA	NA	NA	NA	NA
41	7.44	0.552049	19318	NA	NA	0.019318	NA	NA	NA	NA	NA
34	7.85	0.431649	25551	NA	NA	0.025551	NA	NA	NA	NA	NA
74	7.65	0.395641	30541	NA	NA	0.030541	NA	NA	NA	NA	NA
55	7.69	0.328329	34030	NA	NA	0.03403	NA	NA	NA	NA	NA
15	8	0.571536	36631	NA	NA	0.036631	NA	NA	NA	NA	NA
23	8.09	0.446224	38052	NA	NA	0.038052	NA	NA	NA	NA	NA
50	7.7	0.418609	41008	NA	NA	0.041008	NA	NA	NA	NA	NA
48	8	0.339889	50629	NA	NA	0.050629	NA	NA	NA	NA	NA
28	7.86	0.275625	55246	NA	NA	0.055246	NA	NA	NA	NA	NA
34	7.94	0.239121	60289	NA	NA	0.060289	NA	NA	NA	NA	NA
39	7.85	0.2916	65312	NA	NA	0.065312	NA	NA	NA	NA	NA
23	8	0.363609	70119	NA	NA	0.070119	NA	NA	NA	NA	NA
26	7.96	0.278784	75075	NA	NA	0.075075	NA	NA	NA	NA	NA
56	8.02	0.417316	81150	NA	NA	0.08115	NA	NA	NA	NA	NA
29	8.07	0.351649	86454	NA	NA	0.086454	NA	NA	NA	NA	NA
75	8.23	0.556516	92006	NA	NA	0.092006	NA	NA	NA	NA	NA
76	8.67	0.410881	93445	NA	NA	0.093445	NA	NA	NA	NA	NA
83	8.45	0.5184	96659	NA	NA	0.096659	NA	NA	NA	NA	NA
1	8.7	66.7489	99377	NA	NA	0.099377	NA	NA	NA	NA	NA
51	8.37	0.5184	101306	NA	NA	0.101306	NA	NA	NA	NA	NA
39	8.56	0.568516	106969	NA	NA	0.106969	NA	NA	NA	NA	NA
56	8.41	0.427716	107667	NA	NA	0.107667	NA	NA	NA	NA	NA
