N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	8.83	0.558009	0	0.107667	NA	0	linear	1	no	fish	Gasterosteus_doryssu
33	8.76	0.439569	5317	NA	NA	0.005317	NA	NA	NA	NA	NA
30	8.87	0.463761	9950	NA	NA	0.00995	NA	NA	NA	NA	NA
36	9.06	0.511225	15182	NA	NA	0.015182	NA	NA	NA	NA	NA
55	8.58	0.580644	19318	NA	NA	0.019318	NA	NA	NA	NA	NA
40	8.75	0.808201	25551	NA	NA	0.025551	NA	NA	NA	NA	NA
75	8.56	0.600625	30541	NA	NA	0.030541	NA	NA	NA	NA	NA
52	8.77	0.494209	34030	NA	NA	0.03403	NA	NA	NA	NA	NA
22	9.18	0.251001	36631	NA	NA	0.036631	NA	NA	NA	NA	NA
28	9.18	0.595984	38052	NA	NA	0.038052	NA	NA	NA	NA	NA
54	8.94	0.393129	41008	NA	NA	0.041008	NA	NA	NA	NA	NA
45	9.2	0.345744	50629	NA	NA	0.050629	NA	NA	NA	NA	NA
35	9.14	0.419904	55246	NA	NA	0.055246	NA	NA	NA	NA	NA
37	9.05	0.440896	60289	NA	NA	0.060289	NA	NA	NA	NA	NA
41	9.1	0.290521	65312	NA	NA	0.065312	NA	NA	NA	NA	NA
25	9.2	0.499849	70119	NA	NA	0.070119	NA	NA	NA	NA	NA
30	9.13	0.5329	75075	NA	NA	0.075075	NA	NA	NA	NA	NA
58	9.31	0.568516	81150	NA	NA	0.08115	NA	NA	NA	NA	NA
32	9.75	0.515524	86454	NA	NA	0.086454	NA	NA	NA	NA	NA
84	9.63	0.644809	92006	NA	NA	0.092006	NA	NA	NA	NA	NA
82	10.02	0.715716	93445	NA	NA	0.093445	NA	NA	NA	NA	NA
89	9.8	0.685584	96659	NA	NA	0.096659	NA	NA	NA	NA	NA
95	9.62	0.535824	99377	NA	NA	0.099377	NA	NA	NA	NA	NA
57	9.67	0.511225	101306	NA	NA	0.101306	NA	NA	NA	NA	NA
45	9.8	0.481636	106969	NA	NA	0.106969	NA	NA	NA	NA	NA
64	9.84	0.515524	107667	NA	NA	0.107667	NA	NA	NA	NA	NA
