N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
49	5.18	0.403225	0	0.107667	NA	0	linear	1	no	fish	Gasterosteus_doryssu
42	4.81	0.889249	5317	NA	NA	0.005317	NA	NA	NA	NA	NA
37	4.43	1.308736	9950	NA	NA	0.00995	NA	NA	NA	NA	NA
54	4.72	0.393129	15182	NA	NA	0.015182	NA	NA	NA	NA	NA
63	4.19	0.996004	19318	NA	NA	0.019318	NA	NA	NA	NA	NA
56	4.18	0.731025	25551	NA	NA	0.025551	NA	NA	NA	NA	NA
88	4.14	1.016064	30541	NA	NA	0.030541	NA	NA	NA	NA	NA
63	4.71	0.627264	34030	NA	NA	0.03403	NA	NA	NA	NA	NA
31	4.65	0.769129	36631	NA	NA	0.036631	NA	NA	NA	NA	NA
49	4.92	0.702244	38052	NA	NA	0.038052	NA	NA	NA	NA	NA
65	4.71	0.804609	41008	NA	NA	0.041008	NA	NA	NA	NA	NA
69	4.42	0.6889	50629	NA	NA	0.050629	NA	NA	NA	NA	NA
41	4.56	0.552049	55246	NA	NA	0.055246	NA	NA	NA	NA	NA
49	4.59	0.996004	60289	NA	NA	0.060289	NA	NA	NA	NA	NA
65	4.82	0.746496	65312	NA	NA	0.065312	NA	NA	NA	NA	NA
37	4.89	0.266256	70119	NA	NA	0.070119	NA	NA	NA	NA	NA
42	4.98	0.267289	75075	NA	NA	0.075075	NA	NA	NA	NA	NA
62	4.73	0.465124	81150	NA	NA	0.08115	NA	NA	NA	NA	NA
52	4.96	0.234256	86454	NA	NA	0.086454	NA	NA	NA	NA	NA
101	5.35	0.388129	92006	NA	NA	0.092006	NA	NA	NA	NA	NA
79	5.56	0.327184	93445	NA	NA	0.093445	NA	NA	NA	NA	NA
97	5.27	0.261121	96659	NA	NA	0.096659	NA	NA	NA	NA	NA
109	5.24	0.257049	99377	NA	NA	0.099377	NA	NA	NA	NA	NA
82	5.13	0.216225	101306	NA	NA	0.101306	NA	NA	NA	NA	NA
43	5.16	0.329476	106969	NA	NA	0.106969	NA	NA	NA	NA	NA
72	5	0.337561	107667	NA	NA	0.107667	NA	NA	NA	NA	NA
