N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
49	45.11	152.053561	0	0.107667	NA	0	linear	1	no	fish	Gasterosteus_doryssu
42	42.39	65.9344	5317	NA	NA	0.005317	NA	NA	NA	NA	NA
35	40.08	46.635241	9950	NA	NA	0.00995	NA	NA	NA	NA	NA
48	47.72	98.069409	15182	NA	NA	0.015182	NA	NA	NA	NA	NA
54	38.64	127.170729	19318	NA	NA	0.019318	NA	NA	NA	NA	NA
41	42.69	63.632529	25551	NA	NA	0.025551	NA	NA	NA	NA	NA
78	42.21	96.196864	30541	NA	NA	0.030541	NA	NA	NA	NA	NA
48	47.18	104.673361	34030	NA	NA	0.03403	NA	NA	NA	NA	NA
19	44.83	245.517561	36631	NA	NA	0.036631	NA	NA	NA	NA	NA
27	52.2	270.240721	38052	NA	NA	0.038052	NA	NA	NA	NA	NA
52	48.8	152.250921	41008	NA	NA	0.041008	NA	NA	NA	NA	NA
46	50.71	156.475081	50629	NA	NA	0.050629	NA	NA	NA	NA	NA
31	48.04	132.296004	55246	NA	NA	0.055246	NA	NA	NA	NA	NA
29	50.99	140.351409	60289	NA	NA	0.060289	NA	NA	NA	NA	NA
41	48.12	140.801956	65312	NA	NA	0.065312	NA	NA	NA	NA	NA
26	52.28	89.094721	70119	NA	NA	0.070119	NA	NA	NA	NA	NA
27	45.51	103.693489	75075	NA	NA	0.075075	NA	NA	NA	NA	NA
47	45.78	206.640625	81150	NA	NA	0.08115	NA	NA	NA	NA	NA
36	45.11	69.0561	86454	NA	NA	0.086454	NA	NA	NA	NA	NA
68	51.51	151.585344	92006	NA	NA	0.092006	NA	NA	NA	NA	NA
62	50.45	212.110096	93445	NA	NA	0.093445	NA	NA	NA	NA	NA
67	48.6	134.861769	96659	NA	NA	0.096659	NA	NA	NA	NA	NA
74	54.14	125.821089	99377	NA	NA	0.099377	NA	NA	NA	NA	NA
58	45.42	133.726096	101306	NA	NA	0.101306	NA	NA	NA	NA	NA
30	53.23	280.830564	106969	NA	NA	0.106969	NA	NA	NA	NA	NA
48	47.49	131.951169	107667	NA	NA	0.107667	NA	NA	NA	NA	NA
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
