N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
61	0.79	0.203401	0	0.107667	NA	0	linear	1	no	fish	Gasterosteus_doryssu
60	0.63	0.236196	5317	NA	NA	0.005317	NA	NA	NA	NA	NA
50	0.06	0.0576	9950	NA	NA	0.00995	NA	NA	NA	NA	NA
75	0.65	0.877969	15182	NA	NA	0.015182	NA	NA	NA	NA	NA
85	0.06	0.127449	19318	NA	NA	0.019318	NA	NA	NA	NA	NA
72	0.14	0.206116	25551	NA	NA	0.025551	NA	NA	NA	NA	NA
107	0.07	0.118336	30541	NA	NA	0.030541	NA	NA	NA	NA	NA
74	0.3	0.2116	34030	NA	NA	0.03403	NA	NA	NA	NA	NA
37	0.46	0.255025	36631	NA	NA	0.036631	NA	NA	NA	NA	NA
53	1.17	0.3364	38052	NA	NA	0.038052	NA	NA	NA	NA	NA
70	0.81	0.269361	41008	NA	NA	0.041008	NA	NA	NA	NA	NA
80	0.77	0.201601	50629	NA	NA	0.050629	NA	NA	NA	NA	NA
51	0.45	0.253009	55246	NA	NA	0.055246	NA	NA	NA	NA	NA
57	0.88	0.109561	60289	NA	NA	0.060289	NA	NA	NA	NA	NA
76	0.92	0.073441	65312	NA	NA	0.065312	NA	NA	NA	NA	NA
45	1.09	0.082944	70119	NA	NA	0.070119	NA	NA	NA	NA	NA
51	1.12	0.185761	75075	NA	NA	0.075075	NA	NA	NA	NA	NA
73	0.95	0.080089	81150	NA	NA	0.08115	NA	NA	NA	NA	NA
60	1.12	0.443556	86454	NA	NA	0.086454	NA	NA	NA	NA	NA
107	1.24	0.261121	92006	NA	NA	0.092006	NA	NA	NA	NA	NA
97	2.79	0.249001	93445	NA	NA	0.093445	NA	NA	NA	NA	NA
108	1.31	0.404496	96659	NA	NA	0.096659	NA	NA	NA	NA	NA
116	1.22	0.3969	99377	NA	NA	0.099377	NA	NA	NA	NA	NA
83	1.4	0.511225	101306	NA	NA	0.101306	NA	NA	NA	NA	NA
52	1.15	0.172225	106969	NA	NA	0.106969	NA	NA	NA	NA	NA
85	1.01	0.131044	107667	NA	NA	0.107667	NA	NA	NA	NA	NA
