N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
73	1.16	0.167281	0	0.107667	NA	0	linear	1	no	fish	Gasterosteus_doryssu
75	1.01	0.013225	5317	NA	NA	0.005317	NA	NA	NA	NA	NA
57	1.02	0.017424	9950	NA	NA	0.00995	NA	NA	NA	NA	NA
74	1.18	0.366025	15182	NA	NA	0.015182	NA	NA	NA	NA	NA
92	1	0.066049	19318	NA	NA	0.019318	NA	NA	NA	NA	NA
81	1.02	0.049284	25551	NA	NA	0.025551	NA	NA	NA	NA	NA
114	0.98	0.070225	30541	NA	NA	0.030541	NA	NA	NA	NA	NA
84	0.99	0.011881	34030	NA	NA	0.03403	NA	NA	NA	NA	NA
44	1	0	36631	NA	NA	0.036631	NA	NA	NA	NA	NA
52	0.96	0.037636	38052	NA	NA	0.038052	NA	NA	NA	NA	NA
77	0.86	0.123904	41008	NA	NA	0.041008	NA	NA	NA	NA	NA
81	0.89	0.099856	50629	NA	NA	0.050629	NA	NA	NA	NA	NA
53	0.85	0.130321	55246	NA	NA	0.055246	NA	NA	NA	NA	NA
54	0.85	0.128881	60289	NA	NA	0.060289	NA	NA	NA	NA	NA
75	0.88	0.106929	65312	NA	NA	0.065312	NA	NA	NA	NA	NA
46	0.8	0.293764	70119	NA	NA	0.070119	NA	NA	NA	NA	NA
50	0.76	0.308025	75075	NA	NA	0.075075	NA	NA	NA	NA	NA
64	0.72	0.205209	81150	NA	NA	0.08115	NA	NA	NA	NA	NA
57	0.72	0.455625	86454	NA	NA	0.086454	NA	NA	NA	NA	NA
103	0.76	0.205209	92006	NA	NA	0.092006	NA	NA	NA	NA	NA
110	2.98	0.036481	93445	NA	NA	0.093445	NA	NA	NA	NA	NA
118	2.76	0.285156	96659	NA	NA	0.096659	NA	NA	NA	NA	NA
114	1.46	0.427716	99377	NA	NA	0.099377	NA	NA	NA	NA	NA
90	1.22	0.287296	101306	NA	NA	0.101306	NA	NA	NA	NA	NA
52	1.08	0.190096	106969	NA	NA	0.106969	NA	NA	NA	NA	NA
86	0.98	0.140625	107667	NA	NA	0.107667	NA	NA	NA	NA	NA
