##Bell et al 2006 and Hunt et al 2008 DS											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	0.809	0.0391	19250	0.01475	NA	0.01925	linear	1	yes	fish	Gasterosteus_doryssu
12	0.8667	0.0642	19000	NA	NA	0.019	NA	NA	NA	NA	NA
8	0.9171	0.1034	18750	NA	NA	0.01875	NA	NA	NA	NA	NA
10	0.8436	0.0648	18250	NA	NA	0.01825	NA	NA	NA	NA	NA
20	0.7998	0.0336	17500	NA	NA	0.0175	NA	NA	NA	NA	NA
47	0.7382	0.0166	17250	NA	NA	0.01725	NA	NA	NA	NA	NA
29	0.7198	0.0185	17000	NA	NA	0.017	NA	NA	NA	NA	NA
51	0.7202	0.0105	16750	NA	NA	0.01675	NA	NA	NA	NA	NA
52	0.7597	0.0274	16500	NA	NA	0.0165	NA	NA	NA	NA	NA
30	0.7682	0.0258	16250	NA	NA	0.01625	NA	NA	NA	NA	NA
43	0.7426	0.018	16000	NA	NA	0.016	NA	NA	NA	NA	NA
37	0.8005	0.033	15750	NA	NA	0.01575	NA	NA	NA	NA	NA
84	0.7653	0.027	15500	NA	NA	0.0155	NA	NA	NA	NA	NA
55	0.7867	0.0298	15250	NA	NA	0.01525	NA	NA	NA	NA	NA
55	0.8395	0.0502	15000	NA	NA	0.015	NA	NA	NA	NA	NA
69	0.855	0.0573	14750	NA	NA	0.01475	NA	NA	NA	NA	NA
38	0.833	0.0496	14500	NA	NA	0.0145	NA	NA	NA	NA	NA
7	0.8669	0.047	14000	NA	NA	0.014	NA	NA	NA	NA	NA
38	0.9053	0.065	13750	NA	NA	0.01375	NA	NA	NA	NA	NA
67	0.863	0.0508	13500	NA	NA	0.0135	NA	NA	NA	NA	NA
43	0.8913	0.0677	13250	NA	NA	0.01325	NA	NA	NA	NA	NA
26	0.8391	0.0395	13000	NA	NA	0.013	NA	NA	NA	NA	NA
66	0.923	0.0442	12750	NA	NA	0.01275	NA	NA	NA	NA	NA
43	0.8992	0.0621	12500	NA	NA	0.0125	NA	NA	NA	NA	NA
26	0.9167	0.0711	12250	NA	NA	0.01225	NA	NA	NA	NA	NA
61	0.8918	0.0488	12000	NA	NA	0.012	NA	NA	NA	NA	NA
22	0.8292	0.0491	11750	NA	NA	0.01175	NA	NA	NA	NA	NA
32	0.8767	0.0636	11500	NA	NA	0.0115	NA	NA	NA	NA	NA
36	0.8568	0.0583	11250	NA	NA	0.01125	NA	NA	NA	NA	NA
58	0.857	0.048	11000	NA	NA	0.011	NA	NA	NA	NA	NA
80	0.8097	0.0393	10750	NA	NA	0.01075	NA	NA	NA	NA	NA
54	0.8952	0.0503	10500	NA	NA	0.0105	NA	NA	NA	NA	NA
85	0.847	0.0453	10250	NA	NA	0.01025	NA	NA	NA	NA	NA
37	0.858	0.0534	10000	NA	NA	0.01	NA	NA	NA	NA	NA
81	0.7737	0.0295	9750	NA	NA	0.00975	NA	NA	NA	NA	NA
67	0.7737	0.0297	9500	NA	NA	0.0095	NA	NA	NA	NA	NA
44	0.8045	0.0389	9250	NA	NA	0.00925	NA	NA	NA	NA	NA
78	0.7654	0.0244	9000	NA	NA	0.009	NA	NA	NA	NA	NA
68	0.7706	0.032	8750	NA	NA	0.00875	NA	NA	NA	NA	NA
93	0.8144	0.0372	8500	NA	NA	0.0085	NA	NA	NA	NA	NA
57	0.8758	0.0493	8250	NA	NA	0.00825	NA	NA	NA	NA	NA
43	0.813	0.0398	8000	NA	NA	0.008	NA	NA	NA	NA	NA
60	0.8576	0.044	7750	NA	NA	0.00775	NA	NA	NA	NA	NA
48	0.891	0.0504	7500	NA	NA	0.0075	NA	NA	NA	NA	NA
55	0.8322	0.0534	7250	NA	NA	0.00725	NA	NA	NA	NA	NA
25	0.9438	0.0752	7000	NA	NA	0.007	NA	NA	NA	NA	NA
24	0.9487	0.066	6750	NA	NA	0.00675	NA	NA	NA	NA	NA
15	1.1134	0.0646	6500	NA	NA	0.0065	NA	NA	NA	NA	NA
35	1.1286	0.0591	6250	NA	NA	0.00625	NA	NA	NA	NA	NA
24	1.1051	0.0752	6000	NA	NA	0.006	NA	NA	NA	NA	NA
21	1.1503	0.055	5750	NA	NA	0.00575	NA	NA	NA	NA	NA
27	1.1719	0.0924	5500	NA	NA	0.0055	NA	NA	NA	NA	NA
59	1.3052	0.0364	5250	NA	NA	0.00525	NA	NA	NA	NA	NA
45	1.3415	0.0111	5000	NA	NA	0.005	NA	NA	NA	NA	NA
93	1.3466	0.0161	4750	NA	NA	0.00475	NA	NA	NA	NA	NA
96	1.3526	0.0175	4500	NA	NA	0.0045	NA	NA	NA	NA	NA
