#Bell et al 2006 and Hunt et al 2008 PS											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	0.8854	0.0579	19250	0.01125	NA	0.01925	linear	1	yes	fish	Gasterosteus_doryssu
12	0.7418	0.0916	19000	NA	NA	0.019	NA	NA	NA	NA	NA
10	0.7625	0.048	18750	NA	NA	0.01875	NA	NA	NA	NA	NA
12	0.6218	0.1074	18250	NA	NA	0.01825	NA	NA	NA	NA	NA
7	0.8593	0.0847	18000	NA	NA	0.018	NA	NA	NA	NA	NA
10	0.6931	0	17750	NA	NA	0.01775	NA	NA	NA	NA	NA
27	0.7106	0.0451	17500	NA	NA	0.0175	NA	NA	NA	NA	NA
54	0.7127	0.0075	17250	NA	NA	0.01725	NA	NA	NA	NA	NA
37	0.6496	0.0442	17000	NA	NA	0.017	NA	NA	NA	NA	NA
60	0.6615	0.0403	16750	NA	NA	0.01675	NA	NA	NA	NA	NA
55	0.7137	0.026	16500	NA	NA	0.0165	NA	NA	NA	NA	NA
40	0.7336	0.0432	16250	NA	NA	0.01625	NA	NA	NA	NA	NA
46	0.7013	0.0409	16000	NA	NA	0.016	NA	NA	NA	NA	NA
36	0.7567	0.0331	15750	NA	NA	0.01575	NA	NA	NA	NA	NA
94	0.7322	0.0436	15500	NA	NA	0.0155	NA	NA	NA	NA	NA
56	0.694	0.0138	15250	NA	NA	0.01525	NA	NA	NA	NA	NA
61	0.6985	0.0145	15000	NA	NA	0.015	NA	NA	NA	NA	NA
76	0.7331	0.0175	14750	NA	NA	0.01475	NA	NA	NA	NA	NA
43	0.7551	0.048	14500	NA	NA	0.0145	NA	NA	NA	NA	NA
6	0.7715	0.0368	14000	NA	NA	0.014	NA	NA	NA	NA	NA
38	0.7413	0.0783	13750	NA	NA	0.01375	NA	NA	NA	NA	NA
76	0.7703	0.0488	13500	NA	NA	0.0135	NA	NA	NA	NA	NA
46	0.7736	0.0387	13250	NA	NA	0.01325	NA	NA	NA	NA	NA
26	0.7267	0.0508	13000	NA	NA	0.013	NA	NA	NA	NA	NA
66	0.7798	0.067	12750	NA	NA	0.01275	NA	NA	NA	NA	NA
46	0.7918	0.0642	12500	NA	NA	0.0125	NA	NA	NA	NA	NA
32	0.8161	0.069	12250	NA	NA	0.01225	NA	NA	NA	NA	NA
69	0.8012	0.0418	12000	NA	NA	0.012	NA	NA	NA	NA	NA
29	0.8467	0.05	11750	NA	NA	0.01175	NA	NA	NA	NA	NA
36	0.8879	0.068	11500	NA	NA	0.0115	NA	NA	NA	NA	NA
43	0.8535	0.0632	11250	NA	NA	0.01125	NA	NA	NA	NA	NA
58	0.8812	0.0696	11000	NA	NA	0.011	NA	NA	NA	NA	NA
89	0.8136	0.0748	10750	NA	NA	0.01075	NA	NA	NA	NA	NA
60	0.8357	0.0557	10500	NA	NA	0.0105	NA	NA	NA	NA	NA
88	0.9875	0.0891	10250	NA	NA	0.01025	NA	NA	NA	NA	NA
35	0.8555	0.0887	10000	NA	NA	0.01	NA	NA	NA	NA	NA
97	1.0225	0.1011	9750	NA	NA	0.00975	NA	NA	NA	NA	NA
75	1.1372	0.1041	9500	NA	NA	0.0095	NA	NA	NA	NA	NA
57	1.196	0.077	9250	NA	NA	0.00925	NA	NA	NA	NA	NA
89	1.1032	0.0904	9000	NA	NA	0.009	NA	NA	NA	NA	NA
75	1.1158	0.0992	8750	NA	NA	0.00875	NA	NA	NA	NA	NA
100	1.1177	0.0794	8500	NA	NA	0.0085	NA	NA	NA	NA	NA
59	1.2704	0.0392	8250	NA	NA	0.00825	NA	NA	NA	NA	NA
47	1.3585	0.0126	8000	NA	NA	0.008	NA	NA	NA	NA	NA
