##Bell et al 2006 and Hunt et al 2008 TP											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
11	0.7776	0.2021	19000	0.0145	NA	0.019	linear	1	yes	fish	Gasterosteus_doryssu
7	0.9248	0.47	18250	NA	NA	0.01825	NA	NA	NA	NA	NA
6	0.8283	0.0438	17750	NA	NA	0.01775	NA	NA	NA	NA	NA
17	0.9009	0.0561	17500	NA	NA	0.0175	NA	NA	NA	NA	NA
36	0.7294	0.123	17250	NA	NA	0.01725	NA	NA	NA	NA	NA
23	0.7108	0.0508	17000	NA	NA	0.017	NA	NA	NA	NA	NA
49	0.6545	0.1494	16750	NA	NA	0.01675	NA	NA	NA	NA	NA
45	0.7769	0.0667	16500	NA	NA	0.0165	NA	NA	NA	NA	NA
24	0.8354	0.0564	16250	NA	NA	0.01625	NA	NA	NA	NA	NA
38	0.8274	0.0786	16000	NA	NA	0.016	NA	NA	NA	NA	NA
35	0.7776	0.1351	15750	NA	NA	0.01575	NA	NA	NA	NA	NA
68	0.7245	0.1084	15500	NA	NA	0.0155	NA	NA	NA	NA	NA
42	0.7305	0.0932	15250	NA	NA	0.01525	NA	NA	NA	NA	NA
47	0.8398	0.0597	15000	NA	NA	0.015	NA	NA	NA	NA	NA
70	0.7808	0.0821	14750	NA	NA	0.01475	NA	NA	NA	NA	NA
28	0.809	0.0704	14500	NA	NA	0.0145	NA	NA	NA	NA	NA
6	0.9614	0.1777	14000	NA	NA	0.014	NA	NA	NA	NA	NA
32	0.8489	0.0647	13750	NA	NA	0.01375	NA	NA	NA	NA	NA
63	0.8063	0.0892	13500	NA	NA	0.0135	NA	NA	NA	NA	NA
35	0.8202	0.0843	13250	NA	NA	0.01325	NA	NA	NA	NA	NA
23	0.7335	0.05	13000	NA	NA	0.013	NA	NA	NA	NA	NA
62	0.8444	0.0489	12750	NA	NA	0.01275	NA	NA	NA	NA	NA
38	0.8894	0.097	12500	NA	NA	0.0125	NA	NA	NA	NA	NA
24	0.8234	0.0461	12250	NA	NA	0.01225	NA	NA	NA	NA	NA
60	0.8423	0.0755	12000	NA	NA	0.012	NA	NA	NA	NA	NA
19	0.8639	0.0423	11750	NA	NA	0.01175	NA	NA	NA	NA	NA
30	0.8148	0.0357	11500	NA	NA	0.0115	NA	NA	NA	NA	NA
33	0.8862	0.1386	11250	NA	NA	0.01125	NA	NA	NA	NA	NA
48	0.8054	0.0498	11000	NA	NA	0.011	NA	NA	NA	NA	NA
72	0.8443	0.0637	10750	NA	NA	0.01075	NA	NA	NA	NA	NA
51	0.8283	0.0949	10500	NA	NA	0.0105	NA	NA	NA	NA	NA
81	0.8575	0.101	10250	NA	NA	0.01025	NA	NA	NA	NA	NA
33	0.881	0.126	10000	NA	NA	0.01	NA	NA	NA	NA	NA
72	0.7584	0.071	9750	NA	NA	0.00975	NA	NA	NA	NA	NA
65	0.7945	0.0466	9500	NA	NA	0.0095	NA	NA	NA	NA	NA
41	0.9241	0.0847	9250	NA	NA	0.00925	NA	NA	NA	NA	NA
79	0.8218	0.1131	9000	NA	NA	0.009	NA	NA	NA	NA	NA
62	0.8156	0.0739	8750	NA	NA	0.00875	NA	NA	NA	NA	NA
87	0.9821	0.0721	8500	NA	NA	0.0085	NA	NA	NA	NA	NA
55	0.9077	0.083	8250	NA	NA	0.00825	NA	NA	NA	NA	NA
42	1.0553	0.0567	8000	NA	NA	0.008	NA	NA	NA	NA	NA
53	0.9984	0.0837	7750	NA	NA	0.00775	NA	NA	NA	NA	NA
40	0.9721	0.1035	7500	NA	NA	0.0075	NA	NA	NA	NA	NA
48	0.9245	0.0638	7250	NA	NA	0.00725	NA	NA	NA	NA	NA
24	0.9248	0.0925	7000	NA	NA	0.007	NA	NA	NA	NA	NA
22	0.9958	0.0516	6750	NA	NA	0.00675	NA	NA	NA	NA	NA
11	1.0403	0.0621	6500	NA	NA	0.0065	NA	NA	NA	NA	NA
32	0.9911	0.1178	6250	NA	NA	0.00625	NA	NA	NA	NA	NA
22	1.0291	0.0785	6000	NA	NA	0.006	NA	NA	NA	NA	NA
19	1.0346	0.0231	5750	NA	NA	0.00575	NA	NA	NA	NA	NA
23	1.1776	0.0196	5500	NA	NA	0.0055	NA	NA	NA	NA	NA
46	1.2275	0.0673	5250	NA	NA	0.00525	NA	NA	NA	NA	NA
35	1.3222	0.0416	5000	NA	NA	0.005	NA	NA	NA	NA	NA
79	1.4111	0.0461	4750	NA	NA	0.00475	NA	NA	NA	NA	NA
71	1.3976	0.0573	4500	NA	NA	0.0045	NA	NA	NA	NA	NA
