N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
4	1.58	0.026933333	26.76	3.1	NA	26.76	linear	1	no	coccolith	Sphenolithus_distentus
36	1.348333333	0.05642	27.08	NA	NA	27.08	NA	NA	NA	NA	NA
24	1.334166667	0.072964493	27.43	NA	NA	27.43	NA	NA	NA	NA	NA
36	1.289166667	0.057379286	27.84	NA	NA	27.84	NA	NA	NA	NA	NA
30	1.411333333	0.08268092	28.24	NA	NA	28.24	NA	NA	NA	NA	NA
29	1.478275862	0.060821921	28.54	NA	NA	28.54	NA	NA	NA	NA	NA
27	1.346296296	0.093154986	28.89	NA	NA	28.89	NA	NA	NA	NA	NA
39	1.494102564	0.113745884	29.2	NA	NA	29.2	NA	NA	NA	NA	NA
26	1.403076923	0.056382154	29.51	NA	NA	29.51	NA	NA	NA	NA	NA
20	1.2625	0.032482895	29.86	NA	NA	29.86	NA	NA	NA	NA	NA
											
