N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
4	2.8125	0.041491667	26.76	3.1	NA	26.76	linear	1	no	coccolith	Sphenolithus_distentus
36	2.645	0.136797143	27.08	NA	NA	27.08	NA	NA	NA	NA	NA
24	2.812083333	0.082234601	27.43	NA	NA	27.43	NA	NA	NA	NA	NA
36	2.946388889	0.104360873	27.84	NA	NA	27.84	NA	NA	NA	NA	NA
30	3.096666667	0.232505747	28.24	NA	NA	28.24	NA	NA	NA	NA	NA
29	3.269310345	0.142199507	28.54	NA	NA	28.54	NA	NA	NA	NA	NA
27	2.967037037	0.174552422	28.89	NA	NA	28.89	NA	NA	NA	NA	NA
39	3.202307692	0.145423482	29.2	NA	NA	29.2	NA	NA	NA	NA	NA
26	3.177692308	0.115674462	29.51	NA	NA	29.51	NA	NA	NA	NA	NA
20	3.093	0.113558947	29.86	NA	NA	29.86	NA	NA	NA	NA	NA
											
