N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
4	1.785	0.010833333	26.76	3.1	NA	26.76	linear	1	no	coccolith	Sphenolithus_distentus
36	1.998333333	0.107528571	27.08	NA	NA	27.08	NA	NA	NA	NA	NA
24	2.169583333	0.150291123	27.43	NA	NA	27.43	NA	NA	NA	NA	NA
36	2.348055556	0.188793254	27.84	NA	NA	27.84	NA	NA	NA	NA	NA
30	2.237	0.102497586	28.24	NA	NA	28.24	NA	NA	NA	NA	NA
29	2.237241379	0.052592118	28.54	NA	NA	28.54	NA	NA	NA	NA	NA
27	2.264074074	0.119209687	28.89	NA	NA	28.89	NA	NA	NA	NA	NA
39	2.215897436	0.171945884	29.2	NA	NA	29.2	NA	NA	NA	NA	NA
26	2.308461538	0.118893538	29.51	NA	NA	29.51	NA	NA	NA	NA	NA
20	2.4815	0.142497632	29.86	NA	NA	29.86	NA	NA	NA	NA	NA
											
