N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
46	1.046521739	0.040227633	27.08	5.94	NA	27.08	linear	1	no	coccolith	Sphenolithus_predistentus
76	0.938421053	0.03356814	27.43	NA	NA	27.43	NA	NA	NA	NA	NA
64	1.08328125	0.042123983	27.84	NA	NA	27.84	NA	NA	NA	NA	NA
70	1.139285714	0.038458903	28.24	NA	NA	28.24	NA	NA	NA	NA	NA
71	1.105633803	0.03940495	28.54	NA	NA	28.54	NA	NA	NA	NA	NA
73	1.124383562	0.04662774	28.89	NA	NA	28.89	NA	NA	NA	NA	NA
57	1.222807018	0.086081266	29.2	NA	NA	29.2	NA	NA	NA	NA	NA
74	1.185675676	0.046830359	29.51	NA	NA	29.51	NA	NA	NA	NA	NA
80	1.019875	0.035175934	29.86	NA	NA	29.86	NA	NA	NA	NA	NA
80	0.62575	0.033401962	31.6	NA	NA	31.6	NA	NA	NA	NA	NA
89	0.65752809	0.02691882	33.02	NA	NA	33.02	NA	NA	NA	NA	NA
