N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
46	2.633043478	0.164252754	27.08	5.94	NA	27.08	linear	1	no	coccolith	Sphenolithus_predistentus
76	2.857236842	0.134993596	27.43	NA	NA	27.43	NA	NA	NA	NA	NA
64	2.76796875	0.088095809	27.84	NA	NA	27.84	NA	NA	NA	NA	NA
70	2.691571429	0.151769959	28.24	NA	NA	28.24	NA	NA	NA	NA	NA
71	2.763521127	0.153780282	28.54	NA	NA	28.54	NA	NA	NA	NA	NA
73	2.741643836	0.130075038	28.89	NA	NA	28.89	NA	NA	NA	NA	NA
57	2.760350877	0.285849875	29.2	NA	NA	29.2	NA	NA	NA	NA	NA
74	2.756756757	0.160509885	29.51	NA	NA	29.51	NA	NA	NA	NA	NA
80	3.073	0.206193418	29.86	NA	NA	29.86	NA	NA	NA	NA	NA
80	3.611625	1.100963149	31.6	NA	NA	31.6	NA	NA	NA	NA	NA
89	4.112696629	0.635733555	33.02	NA	NA	33.02	NA	NA	NA	NA	NA
