N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
46	2.69673913	0.11596913	27.08	5.94	NA	27.08	linear	1	no	coccolith	Sphenolithus_predistentus
76	2.6375	0.134883	27.43	NA	NA	27.43	NA	NA	NA	NA	NA
64	2.96921875	0.259220015	27.84	NA	NA	27.84	NA	NA	NA	NA	NA
70	3.011571429	0.134216335	28.24	NA	NA	28.24	NA	NA	NA	NA	NA
71	2.997042254	0.108549698	28.54	NA	NA	28.54	NA	NA	NA	NA	NA
73	3.024520548	0.148166781	28.89	NA	NA	28.89	NA	NA	NA	NA	NA
57	3.271578947	0.315506391	29.2	NA	NA	29.2	NA	NA	NA	NA	NA
74	3.208513514	0.191489541	29.51	NA	NA	29.51	NA	NA	NA	NA	NA
80	3.072375	0.141868972	29.86	NA	NA	29.86	NA	NA	NA	NA	NA
80	2.11025	0.107313861	31.6	NA	NA	31.6	NA	NA	NA	NA	NA
89	2.611011236	0.181527375	33.02	NA	NA	33.02	NA	NA	NA	NA	NA
