#Bornemann and Mutterlose 2006 Biscutum ellip											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	1.64	0.025555016	46.78	0.159	0.02544	0	linear	1	no	coccolith	Biscutum_constans
60	1.58	0.038346561	46.84	NA	NA	0.0015264	NA	NA	NA	NA	NA
60	1.73	0.098836982	47	NA	NA	0.0055968	NA	NA	NA	NA	NA
60	1.66	0.038346561	47.14	NA	NA	0.0091584	NA	NA	NA	NA	NA
60	1.68	0.080292951	47.31	NA	NA	0.0134832	NA	NA	NA	NA	NA
60	1.7	0.07751774	47.42	NA	NA	0.0162816	NA	NA	NA	NA	NA
60	1.67	0.056226572	47.51	NA	NA	0.0185712	NA	NA	NA	NA	NA
60	1.71	0.07179571	47.6	NA	NA	0.0208608	NA	NA	NA	NA	NA
60	1.63	0.056226572	47.74	NA	NA	0.0244224	NA	NA	NA	NA	NA
60	1.64	0.040385087	47.85	NA	NA	0.0272208	NA	NA	NA	NA	NA
60	1.66	0.063873425	47.92	NA	NA	0.0290016	NA	NA	NA	NA	NA
60	1.59	0.03842399	48.12	NA	NA	0.0340896	NA	NA	NA	NA	NA
60	1.68	0.03842399	48.27	NA	NA	0.0379056	NA	NA	NA	NA	NA
60	1.67	0.071901643	48.44	NA	NA	0.0422304	NA	NA	NA	NA	NA
60	1.66	0.056226572	48.55	NA	NA	0.0450288	NA	NA	NA	NA	NA
60	1.61	0.023938815	48.66	NA	NA	0.0478272	NA	NA	NA	NA	NA
60	1.66	0.07751774	48.79	NA	NA	0.0511344	NA	NA	NA	NA	NA
60	1.61	0.053816483	48.92	NA	NA	0.0544416	NA	NA	NA	NA	NA
60	1.75	0.119305914	49.08	NA	NA	0.058512	NA	NA	NA	NA	NA
60	1.66	0.07179571	49.19	NA	NA	0.0613104	NA	NA	NA	NA	NA
60	1.63	0.049067094	49.25	NA	NA	0.0628368	NA	NA	NA	NA	NA
60	1.71	0.083230945	49.31	NA	NA	0.0643632	NA	NA	NA	NA	NA
60	1.64	0.061205123	49.4	NA	NA	0.0666528	NA	NA	NA	NA	NA
60	1.69	0.119169448	49.43	NA	NA	0.067416	NA	NA	NA	NA	NA
60	1.6	0.056226572	49.5	NA	NA	0.0691968	NA	NA	NA	NA	NA
60	1.58	0.056226572	49.71	NA	NA	0.0745392	NA	NA	NA	NA	NA
60	1.7	0.10209375	49.83	NA	NA	0.077592	NA	NA	NA	NA	NA
60	1.69	0.053816483	50.03	NA	NA	0.08268	NA	NA	NA	NA	NA
60	1.66	0.056226572	50.09	NA	NA	0.0842064	NA	NA	NA	NA	NA
60	1.7	0.053816483	50.11	NA	NA	0.0847152	NA	NA	NA	NA	NA
60	1.59	0.030720364	50.17	NA	NA	0.0862416	NA	NA	NA	NA	NA
60	1.73	0.260512117	50.25	NA	NA	0.0882768	NA	NA	NA	NA	NA
60	1.6	0.074683296	50.29	NA	NA	0.0892944	NA	NA	NA	NA	NA
60	1.63	0.056226572	50.34	NA	NA	0.0905664	NA	NA	NA	NA	NA
60	1.66	0.095633004	50.38	NA	NA	0.091584	NA	NA	NA	NA	NA
60	1.66	0.053816483	50.54	NA	NA	0.0956544	NA	NA	NA	NA	NA
60	1.57	0.042476403	50.69	NA	NA	0.0994704	NA	NA	NA	NA	NA
60	1.54	0.051459184	50.84	NA	NA	0.1032864	NA	NA	NA	NA	NA
60	1.59	0.036436224	51.12	NA	NA	0.1104096	NA	NA	NA	NA	NA
60	1.58	0.058689452	51.45	NA	NA	0.1188048	NA	NA	NA	NA	NA
60	1.64	0.053816483	51.62	NA	NA	0.1231296	NA	NA	NA	NA	NA
60	1.59	0.077407747	51.83	NA	NA	0.128472	NA	NA	NA	NA	NA
60	1.55	0.038346561	52.03	NA	NA	0.13356	NA	NA	NA	NA	NA
60	1.58	0.053816483	52.25	NA	NA	0.1391568	NA	NA	NA	NA	NA
60	1.65	0.080292951	52.54	NA	NA	0.1465344	NA	NA	NA	NA	NA
60	1.63	0.056226572	52.61	NA	NA	0.1483152	NA	NA	NA	NA	NA
60	1.6	0.053816483	52.66	NA	NA	0.1495872	NA	NA	NA	NA	NA
60	1.59	0.051459184	52.83	NA	NA	0.153912	NA	NA	NA	NA	NA
60	1.58	0.051459184	52.95	NA	NA	0.1569648	NA	NA	NA	NA	NA
60	1.59	0.056226572	53.03	NA	NA	0.159	NA	NA	NA	NA	NA
