#Bornemann and Mutterlose 2006 Biscutum length											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	3.5795	0.382532018	46.745	0.159	0.025134366	0	linear	1	no	coccolith	Biscutum_constans
60	3.6142	0.537436224	46.852	NA	NA	0.002689377	NA	NA	NA	NA	NA
60	3.6199	0.504353759	47.005	NA	NA	0.006534935	NA	NA	NA	NA	NA
60	3.469	0.328152371	47.128	NA	NA	0.009626462	NA	NA	NA	NA	NA
60	3.4399	0.341183465	47.342	NA	NA	0.015005217	NA	NA	NA	NA	NA
60	3.6427	0.488206581	47.404	NA	NA	0.016563547	NA	NA	NA	NA	NA
60	3.4107	0.44160385	47.526	NA	NA	0.01962994	NA	NA	NA	NA	NA
60	3.399	0.554665803	47.649	NA	NA	0.022721467	NA	NA	NA	NA	NA
60	3.341	0.302416532	47.741	NA	NA	0.025033829	NA	NA	NA	NA	NA
60	3.6714	0.504353759	47.817	NA	NA	0.02694404	NA	NA	NA	NA	NA
60	3.4974	0.589030196	47.94	NA	NA	0.030035567	NA	NA	NA	NA	NA
60	3.7523	0.426244898	48.108	NA	NA	0.034258141	NA	NA	NA	NA	NA
60	3.6014	0.368486464	48.292	NA	NA	0.038882864	NA	NA	NA	NA	NA
60	3.4796	0.642988494	48.415	NA	NA	0.041974391	NA	NA	NA	NA	NA
60	3.4099	0.30219924	48.553	NA	NA	0.045442934	NA	NA	NA	NA	NA
60	3.6359	0.426244898	48.675	NA	NA	0.048509327	NA	NA	NA	NA	NA
60	3.4503	0.32792602	48.782	NA	NA	0.051198704	NA	NA	NA	NA	NA
60	3.5081	0.47259375	48.92	NA	NA	0.054667246	NA	NA	NA	NA	NA
60	3.3746	0.44160385	49.135	NA	NA	0.060071135	NA	NA	NA	NA	NA
60	3.1891	1.587859056	49.211	NA	NA	0.061981347	NA	NA	NA	NA	NA
60	3.4615	0.209800239	49.257	NA	NA	0.063137528	NA	NA	NA	NA	NA
60	3.3339	0.472322105	49.303	NA	NA	0.064293709	NA	NA	NA	NA	NA
60	3.4846	0.265783046	49.395	NA	NA	0.06660607	NA	NA	NA	NA	NA
60	3.328	0.32792602	49.487	NA	NA	0.068918432	NA	NA	NA	NA	NA
60	3.4207	0.441341264	49.518	NA	NA	0.069697597	NA	NA	NA	NA	NA
60	3.5771	0.456700333	49.701	NA	NA	0.074297186	NA	NA	NA	NA	NA
60	3.1596	0.368726403	49.824	NA	NA	0.077388713	NA	NA	NA	NA	NA
60	3.5768	0.441341264	50.038	NA	NA	0.082767468	NA	NA	NA	NA	NA
60	3.4492	0.411411235	50.084	NA	NA	0.083923648	NA	NA	NA	NA	NA
60	3.4086	0.341183465	50.115	NA	NA	0.084702814	NA	NA	NA	NA	NA
60	3.7332	0.341183465	50.176	NA	NA	0.08623601	NA	NA	NA	NA	NA
60	3.5766	0.441341264	50.253	NA	NA	0.088171356	NA	NA	NA	NA	NA
60	3.1534	0.52076364	50.283	NA	NA	0.088925387	NA	NA	NA	NA	NA
60	3.3678	0.504634462	50.329	NA	NA	0.090081568	NA	NA	NA	NA	NA
60	3.362	0.472322105	50.391	NA	NA	0.091639899	NA	NA	NA	NA	NA
60	3.3039	0.472322105	50.544	NA	NA	0.095485457	NA	NA	NA	NA	NA
60	3.5009	0.368486464	50.682	NA	NA	0.098953999	NA	NA	NA	NA	NA
60	3.2863	0.456700333	50.835	NA	NA	0.102799557	NA	NA	NA	NA	NA
60	3.2106	0.397089273	51.141	NA	NA	0.110490673	NA	NA	NA	NA	NA
60	3.3669	0.411664762	51.432	NA	NA	0.117804774	NA	NA	NA	NA	NA
60	3.3899	0.44160385	51.647	NA	NA	0.123208663	NA	NA	NA	NA	NA
60	3.3434	0.426244898	51.846	NA	NA	0.128210402	NA	NA	NA	NA	NA
60	3.4186	0.554371512	52.03	NA	NA	0.132835125	NA	NA	NA	NA	NA
60	3.3489	0.396840275	52.229	NA	NA	0.137836864	NA	NA	NA	NA	NA
60	3.2211	0.52076364	52.581	NA	NA	0.146684161	NA	NA	NA	NA	NA
60	3.4065	0.504353759	52.642	NA	NA	0.148217357	NA	NA	NA	NA	NA
60	3.2615	0.289942667	52.704	NA	NA	0.149775688	NA	NA	NA	NA	NA
60	3.4063	0.341414346	52.887	NA	NA	0.154375277	NA	NA	NA	NA	NA
60	3.2381	0.426502954	52.949	NA	NA	0.155933607	NA	NA	NA	NA	NA
60	3.2786	0.456967448	53.071	NA	NA	0.159	NA	NA	NA	NA	NA
