#Bornemann and Mutterlose 2006 Biscutum place											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	1.1806	0.006092188	46.736	0.159	0.025146291	0	linear	1	no	coccolith	Biscutum_constans
60	1.1395	0.006341459	46.825	NA	NA	0.00223802	NA	NA	NA	NA	NA
60	1.1702	0.006595728	46.999	NA	NA	0.006613475	NA	NA	NA	NA	NA
60	1.1492	0.006627863	47.144	NA	NA	0.010259687	NA	NA	NA	NA	NA
60	1.1911	0.006887755	47.299	NA	NA	0.014157362	NA	NA	NA	NA	NA
60	1.1702	0.006595728	47.398	NA	NA	0.016646845	NA	NA	NA	NA	NA
60	1.1702	0.005847915	47.489	NA	NA	0.018935157	NA	NA	NA	NA	NA
60	1.1798	0.006092188	47.609	NA	NA	0.021952712	NA	NA	NA	NA	NA
60	1.1694	0.006092188	47.735	NA	NA	0.025121145	NA	NA	NA	NA	NA
60	1.1903	0.006092188	47.836	NA	NA	0.02766092	NA	NA	NA	NA	NA
60	1.1589	0.005847915	47.906	NA	NA	0.029421161	NA	NA	NA	NA	NA
60	1.1605	0.005847915	48.105	NA	NA	0.034425273	NA	NA	NA	NA	NA
60	1.1718	0.006595728	48.301	NA	NA	0.039353946	NA	NA	NA	NA	NA
60	1.15	0.006123074	48.43	NA	NA	0.042597817	NA	NA	NA	NA	NA
60	1.179	0.006595728	48.528	NA	NA	0.045062154	NA	NA	NA	NA	NA
60	1.1605	0.00560864	48.672	NA	NA	0.04868322	NA	NA	NA	NA	NA
60	1.171	0.006595728	48.776	NA	NA	0.051298434	NA	NA	NA	NA	NA
60	1.1782	0.006341459	48.911	NA	NA	0.054693184	NA	NA	NA	NA	NA
60	1.1895	0.005847915	49.077	NA	NA	0.058867468	NA	NA	NA	NA	NA
60	1.1895	0.006092188	49.214	NA	NA	0.06231251	NA	NA	NA	NA	NA
60	1.1992	0.01424469	49.257	NA	NA	0.0633938	NA	NA	NA	NA	NA
60	1.221	0.00560864	49.297	NA	NA	0.064399652	NA	NA	NA	NA	NA
60	1.1992	0.005847915	49.411	NA	NA	0.067266329	NA	NA	NA	NA	NA
60	1.2	0.006123074	49.441	NA	NA	0.068020718	NA	NA	NA	NA	NA
60	1.1774	0.006092188	49.509	NA	NA	0.069730666	NA	NA	NA	NA	NA
60	1.1702	0.00560864	49.71	NA	NA	0.07478507	NA	NA	NA	NA	NA
60	1.1992	0.005847915	49.809	NA	NA	0.077274553	NA	NA	NA	NA	NA
60	1.2008	0.006627863	50.038	NA	NA	0.083033054	NA	NA	NA	NA	NA
60	1.1782	0.010396293	50.091	NA	NA	0.084365807	NA	NA	NA	NA	NA
60	1.1895	0.001705578	50.118	NA	NA	0.085044757	NA	NA	NA	NA	NA
60	1.171	0.006887755	50.185	NA	NA	0.086729559	NA	NA	NA	NA	NA
60	1.2008	0.006123074	50.207	NA	NA	0.087282777	NA	NA	NA	NA	NA
60	1.179	0.006341459	50.274	NA	NA	0.088967579	NA	NA	NA	NA	NA
60	1.1903	0.006627863	50.378	NA	NA	0.091582793	NA	NA	NA	NA	NA
60	1.1694	0.006341459	50.385	NA	NA	0.091758817	NA	NA	NA	NA	NA
60	1.221	0.006092188	50.522	NA	NA	0.095203859	NA	NA	NA	NA	NA
60	1.179	0.00560864	50.673	NA	NA	0.099000949	NA	NA	NA	NA	NA
60	1.1887	0.024864796	50.838	NA	NA	0.103150087	NA	NA	NA	NA	NA
60	1.1911	0.005374362	51.129	NA	NA	0.110467658	NA	NA	NA	NA	NA
60	1.1798	0.006341459	51.408	NA	NA	0.117483473	NA	NA	NA	NA	NA
60	1.1903	0.006092188	51.634	NA	NA	0.123166535	NA	NA	NA	NA	NA
60	1.2016	0.007152645	51.815	NA	NA	0.127718014	NA	NA	NA	NA	NA
60	1.1895	0.00560864	51.987	NA	NA	0.132043176	NA	NA	NA	NA	NA
60	1.1903	0.006123074	52.201	NA	NA	0.137424482	NA	NA	NA	NA	NA
60	1.1613	0.006092188	52.562	NA	NA	0.146502293	NA	NA	NA	NA	NA
60	1.1984	0.00560864	52.627	NA	NA	0.148136802	NA	NA	NA	NA	NA
60	1.1879	0.006627863	52.692	NA	NA	0.149771311	NA	NA	NA	NA	NA
60	1.1992	0.013869846	52.842	NA	NA	0.153543255	NA	NA	NA	NA	NA
60	1.1605	0.006595728	52.961	NA	NA	0.156535663	NA	NA	NA	NA	NA
60	1.1911	0.006092188	53.059	NA	NA	0.159	NA	NA	NA	NA	NA
