#Bornemann and Mutterlose 2006 Biscutum ratio											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	0.42027	0.006067536	46.756	0.159	0.025282239	0	linear	1	no	coccolith	Biscutum_constans
60	0.40983	0.001428924	46.815	NA	NA	0.001491652	NA	NA	NA	NA	NA
60	0.41967	0.001700686	47.016	NA	NA	0.006573382	NA	NA	NA	NA	NA
60	0.42024	0.006064458	47.138	NA	NA	0.009657815	NA	NA	NA	NA	NA
60	0.40978	0.001428924	47.35	NA	NA	0.01501765	NA	NA	NA	NA	NA
60	0.42021	0.006247397	47.444	NA	NA	0.01739418	NA	NA	NA	NA	NA
60	0.4202	0.005890302	47.551	NA	NA	0.02009938	NA	NA	NA	NA	NA
60	0.42947	0.006247397	47.644	NA	NA	0.022450628	NA	NA	NA	NA	NA
60	0.40975	0.001428924	47.763	NA	NA	0.025459215	NA	NA	NA	NA	NA
60	0.42076	0.006247397	47.826	NA	NA	0.027051996	NA	NA	NA	NA	NA
60	0.42017	0.001516884	47.933	NA	NA	0.029757195	NA	NA	NA	NA	NA
60	0.39001	0.001428924	48.111	NA	NA	0.034257434	NA	NA	NA	NA	NA
60	0.40043	0.001607471	48.311	NA	NA	0.039313881	NA	NA	NA	NA	NA
60	0.39926	0.006067536	48.418	NA	NA	0.042019081	NA	NA	NA	NA	NA
60	0.39983	0.00142743	48.556	NA	NA	0.04550803	NA	NA	NA	NA	NA
60	0.40968	0.001516884	48.649	NA	NA	0.047859278	NA	NA	NA	NA	NA
60	0.41024	0.001516884	48.817	NA	NA	0.052106694	NA	NA	NA	NA	NA
60	0.39864	0.001518424	48.907	NA	NA	0.054382096	NA	NA	NA	NA	NA
60	0.39051	0.006429885	49.119	NA	NA	0.05974193	NA	NA	NA	NA	NA
60	0.38992	0.001343591	49.242	NA	NA	0.062851646	NA	NA	NA	NA	NA
60	0.3905	0.006067536	49.257	NA	NA	0.063230879	NA	NA	NA	NA	NA
60	0.4102	0.006067536	49.291	NA	NA	0.064090475	NA	NA	NA	NA	NA
60	0.39918	0.001516884	49.427	NA	NA	0.06752886	NA	NA	NA	NA	NA
60	0.38005	0.001516884	49.454	NA	NA	0.06821148	NA	NA	NA	NA	NA
60	0.36961	0.001607471	49.513	NA	NA	0.069703132	NA	NA	NA	NA	NA
60	0.35974	0.001700686	49.679	NA	NA	0.073899984	NA	NA	NA	NA	NA
60	0.37944	0.006247397	49.82	NA	NA	0.07746478	NA	NA	NA	NA	NA
60	0.38985	0.001428924	50.021	NA	NA	0.08254651	NA	NA	NA	NA	NA
60	0.37999	0.005890302	50.065	NA	NA	0.083658928	NA	NA	NA	NA	NA
60	0.38984	0.005715695	50.159	NA	NA	0.086035459	NA	NA	NA	NA	NA
60	0.36955	0.001518424	50.185	NA	NA	0.086692797	NA	NA	NA	NA	NA
60	0.39042	0.005715695	50.235	NA	NA	0.087956909	NA	NA	NA	NA	NA
60	0.3794	0.006247397	50.294	NA	NA	0.089448561	NA	NA	NA	NA	NA
60	0.37939	0.005890302	50.325	NA	NA	0.09023231	NA	NA	NA	NA	NA
60	0.37881	0.001516884	50.386	NA	NA	0.091774527	NA	NA	NA	NA	NA
60	0.38981	0.006429885	50.556	NA	NA	0.096072508	NA	NA	NA	NA	NA
60	0.3811	0.001516884	50.677	NA	NA	0.099131658	NA	NA	NA	NA	NA
60	0.36022	0.001605887	50.841	NA	NA	0.103277946	NA	NA	NA	NA	NA
60	0.39034	0.001607471	51.137	NA	NA	0.110761488	NA	NA	NA	NA	NA
60	0.37988	0.001516884	51.44	NA	NA	0.118422007	NA	NA	NA	NA	NA
60	0.39958	0.001516884	51.628	NA	NA	0.123175068	NA	NA	NA	NA	NA
60	0.37927	0.001516884	51.822	NA	NA	0.128079822	NA	NA	NA	NA	NA
60	0.36882	0.001607471	52.034	NA	NA	0.133439657	NA	NA	NA	NA	NA
60	0.38097	0.006426716	52.251	NA	NA	0.138925902	NA	NA	NA	NA	NA
60	0.39022	0.001428924	52.543	NA	NA	0.146308316	NA	NA	NA	NA	NA
60	0.38906	0.006615	52.604	NA	NA	0.147850533	NA	NA	NA	NA	NA
60	0.40007	0.001700686	52.667	NA	NA	0.149443314	NA	NA	NA	NA	NA
60	0.38034	0.001428924	52.862	NA	NA	0.15437335	NA	NA	NA	NA	NA
60	0.39019	0.001605887	52.971	NA	NA	0.157129114	NA	NA	NA	NA	NA
60	0.37917	0.006067536	53.045	NA	NA	0.159	NA	NA	NA	NA	NA
