#Bornemann and Mutterlose 2006 Biscutum runit											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	1.4813	0.077627811	46.76	0.159	0.02537504	0	linear	1	no	coccolith	Biscutum_constans
60	1.4716	0.096367698	46.836	NA	NA	0.001928503	NA	NA	NA	NA	NA
60	1.5132	0.10437936	47.02	NA	NA	0.00659751	NA	NA	NA	NA	NA
60	1.4298	0.05199849	47.142	NA	NA	0.009693265	NA	NA	NA	NA	NA
60	1.4009	0.104251718	47.325	NA	NA	0.014336898	NA	NA	NA	NA	NA
60	1.5098	0.092481817	47.432	NA	NA	0.017052027	NA	NA	NA	NA	NA
60	1.4329	0.100333546	47.524	NA	NA	0.01938653	NA	NA	NA	NA	NA
60	1.4392	0.125807932	47.631	NA	NA	0.02210166	NA	NA	NA	NA	NA
60	1.3815	0.077627811	47.738	NA	NA	0.024816789	NA	NA	NA	NA	NA
60	1.5417	0.096245054	47.83	NA	NA	0.027151293	NA	NA	NA	NA	NA
60	1.4487	0.104251718	47.921	NA	NA	0.029460421	NA	NA	NA	NA	NA
60	1.4711	0.096367698	48.105	NA	NA	0.034129429	NA	NA	NA	NA	NA
60	1.4421	0.070740681	48.303	NA	NA	0.039153687	NA	NA	NA	NA	NA
60	1.3716	0.074251913	48.426	NA	NA	0.042274816	NA	NA	NA	NA	NA
60	1.3587	0.04110303	48.533	NA	NA	0.044989946	NA	NA	NA	NA	NA
60	1.474	0.054922272	48.655	NA	NA	0.048085701	NA	NA	NA	NA	NA
60	1.3906	0.05792602	48.793	NA	NA	0.051587456	NA	NA	NA	NA	NA
60	1.3906	0.074251913	48.93	NA	NA	0.055063837	NA	NA	NA	NA	NA
60	1.336	0.096245054	49.114	NA	NA	0.059732844	NA	NA	NA	NA	NA
60	1.2302	0.05199849	49.19	NA	NA	0.061661347	NA	NA	NA	NA	NA
60	1.3423	0.096245054	49.236	NA	NA	0.062828599	NA	NA	NA	NA	NA
60	1.3615	0.100333546	49.297	NA	NA	0.064376476	NA	NA	NA	NA	NA
60	1.3807	0.05199849	49.404	NA	NA	0.067091605	NA	NA	NA	NA	NA
60	1.2525	0.054922272	49.45	NA	NA	0.068258857	NA	NA	NA	NA	NA
60	1.2717	0.077627811	49.496	NA	NA	0.069426109	NA	NA	NA	NA	NA
60	1.2908	0.05792602	49.694	NA	NA	0.074450367	NA	NA	NA	NA	NA
60	1.1882	0.05792602	49.847	NA	NA	0.078332748	NA	NA	NA	NA	NA
60	1.39	0.100333546	50.046	NA	NA	0.083382381	NA	NA	NA	NA	NA
60	1.2875	0.077627811	50.076	NA	NA	0.084143632	NA	NA	NA	NA	NA
60	1.3163	0.074144263	50.122	NA	NA	0.085310884	NA	NA	NA	NA	NA
60	1.3932	0.074144263	50.168	NA	NA	0.086478136	NA	NA	NA	NA	NA
60	1.3771	0.100333546	50.229	NA	NA	0.088026013	NA	NA	NA	NA	NA
60	1.1816	0.092361672	50.29	NA	NA	0.089573891	NA	NA	NA	NA	NA
60	1.2777	0.077737961	50.352	NA	NA	0.091147143	NA	NA	NA	NA	NA
60	1.2905	0.067417066	50.382	NA	NA	0.091908395	NA	NA	NA	NA	NA
60	1.2712	0.092481817	50.535	NA	NA	0.095790776	NA	NA	NA	NA	NA
60	1.3256	0.081303975	50.688	NA	NA	0.099673157	NA	NA	NA	NA	NA
60	1.191	0.077627811	50.825	NA	NA	0.103149537	NA	NA	NA	NA	NA
60	1.2517	0.054922272	51.131	NA	NA	0.110914299	NA	NA	NA	NA	NA
60	1.2901	0.051908411	51.421	NA	NA	0.118273061	NA	NA	NA	NA	NA
60	1.3412	0.070740681	51.635	NA	NA	0.12370332	NA	NA	NA	NA	NA
60	1.2578	0.061009736	51.834	NA	NA	0.128752952	NA	NA	NA	NA	NA
60	1.2706	0.100333546	52.017	NA	NA	0.133396585	NA	NA	NA	NA	NA
60	1.2769	0.077737961	52.231	NA	NA	0.138826843	NA	NA	NA	NA	NA
60	1.2479	0.077627811	52.537	NA	NA	0.146591605	NA	NA	NA	NA	NA
60	1.3055	0.077627811	52.629	NA	NA	0.148926109	NA	NA	NA	NA	NA
60	1.2767	0.036060014	52.69	NA	NA	0.150473987	NA	NA	NA	NA	NA
60	1.2894	0.05792602	52.858	NA	NA	0.154736993	NA	NA	NA	NA	NA
60	1.2605	0.074144263	52.95	NA	NA	0.157071497	NA	NA	NA	NA	NA
60	1.2477	0.054829693	53.026	NA	NA	0.159	NA	NA	NA	NA	NA
