#Bornemann and Mutterlose 2006 Watznaueria ellip											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	1.4904	0.025491878	46.759	0.159	0.025238095	0	linear	1	no	coccolith	Watznaueria_barnesiae
60	1.4301	0.022139564	46.865	NA	NA	0.002675238	NA	NA	NA	NA	NA
60	1.4699	0.026382913	47.033	NA	NA	0.006915238	NA	NA	NA	NA	NA
60	1.4986	0.027224008	47.154	NA	NA	0.009969048	NA	NA	NA	NA	NA
60	1.4507	0.025491878	47.352	NA	NA	0.01496619	NA	NA	NA	NA	NA
60	1.4603	0.022970468	47.428	NA	NA	0.016884286	NA	NA	NA	NA	NA
60	1.4507	0.014197561	47.565	NA	NA	0.020341905	NA	NA	NA	NA	NA
60	1.489	0.055479384	47.641	NA	NA	0.02226	NA	NA	NA	NA	NA
60	1.4096	0.012332518	47.733	NA	NA	0.024581905	NA	NA	NA	NA	NA
60	1.4014	0.01415051	47.839	NA	NA	0.027257143	NA	NA	NA	NA	NA
60	1.4301	0.035910077	47.93	NA	NA	0.02955381	NA	NA	NA	NA	NA
60	1.4808	0.027224008	48.113	NA	NA	0.034172381	NA	NA	NA	NA	NA
60	1.4205	0.024678194	48.296	NA	NA	0.038790952	NA	NA	NA	NA	NA
60	1.4781	0.023816678	48.448	NA	NA	0.042627143	NA	NA	NA	NA	NA
60	1.4795	0.025491878	48.554	NA	NA	0.045302381	NA	NA	NA	NA	NA
60	1.4767	0.023816678	48.676	NA	NA	0.048381429	NA	NA	NA	NA	NA
60	1.5301	0.077737961	48.813	NA	NA	0.051839048	NA	NA	NA	NA	NA
60	1.4781	0.023816678	48.92	NA	NA	0.054539524	NA	NA	NA	NA	NA
60	1.5205	0.054275862	49.148	NA	NA	0.06029381	NA	NA	NA	NA	NA
60	1.5014	0.040147178	49.239	NA	NA	0.062590476	NA	NA	NA	NA	NA
60	1.4795	0.02461615	49.285	NA	NA	0.063751429	NA	NA	NA	NA	NA
60	1.4795	0.039046231	49.3	NA	NA	0.06413	NA	NA	NA	NA	NA
60	1.4685	0.040147178	49.437	NA	NA	0.067587619	NA	NA	NA	NA	NA
60	1.4479	0.02461615	49.483	NA	NA	0.068748571	NA	NA	NA	NA	NA
60	1.5096	0.041183192	49.513	NA	NA	0.069505714	NA	NA	NA	NA	NA
60	1.5479	0.035910077	49.757	NA	NA	0.07566381	NA	NA	NA	NA	NA
60	1.4877	0.035910077	49.848	NA	NA	0.077960476	NA	NA	NA	NA	NA
60	1.4808	0.056790244	50.076	NA	NA	0.083714762	NA	NA	NA	NA	NA
60	1.4699	0.024678194	50.122	NA	NA	0.084875714	NA	NA	NA	NA	NA
60	1.4603	0.01290966	50.152	NA	NA	0.085632857	NA	NA	NA	NA	NA
60	1.4603	0.022139564	50.213	NA	NA	0.087172381	NA	NA	NA	NA	NA
60	1.4466	0.02461615	50.259	NA	NA	0.088333333	NA	NA	NA	NA	NA
60	1.5082	0.040147178	50.32	NA	NA	0.089872857	NA	NA	NA	NA	NA
60	1.489	0.024678194	50.35	NA	NA	0.09063	NA	NA	NA	NA	NA
60	1.5	0.039046231	50.411	NA	NA	0.092169524	NA	NA	NA	NA	NA
60	1.4425	0.013545957	50.548	NA	NA	0.095627143	NA	NA	NA	NA	NA
60	1.511	0.055479384	50.715	NA	NA	0.099841905	NA	NA	NA	NA	NA
60	1.4904	0.052903582	50.883	NA	NA	0.104081905	NA	NA	NA	NA	NA
60	1.4534	0.023816678	51.172	NA	NA	0.111375714	NA	NA	NA	NA	NA
60	1.4685	0.039046231	51.461	NA	NA	0.118669524	NA	NA	NA	NA	NA
60	1.4753	0.035910077	51.643	NA	NA	0.123262857	NA	NA	NA	NA	NA
60	1.4781	0.025491878	51.857	NA	NA	0.12866381	NA	NA	NA	NA	NA
60	1.4986	0.036890254	52.1	NA	NA	0.134796667	NA	NA	NA	NA	NA
60	1.5	0.037960589	52.237	NA	NA	0.138254286	NA	NA	NA	NA	NA
60	1.4986	0.023816678	52.602	NA	NA	0.14746619	NA	NA	NA	NA	NA
60	1.4616	0.025491878	52.663	NA	NA	0.149005714	NA	NA	NA	NA	NA
60	1.511	0.023816678	52.724	NA	NA	0.150545238	NA	NA	NA	NA	NA
60	1.4973	0.015497449	52.876	NA	NA	0.154381429	NA	NA	NA	NA	NA
60	1.5	0.022970468	52.952	NA	NA	0.156299524	NA	NA	NA	NA	NA
60	1.4877	0.041183192	53.059	NA	NA	0.159	NA	NA	NA	NA	NA
