#Bornemann and Mutterlose 2006 Watznaueria length											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	5.5717	0.771476403	46.771	0.159	0.025266169	0	linear	1	no	coccolith	Watznaueria_barnesiae
60	5.4067	0.644891295	46.866	NA	NA	0.002400286	NA	NA	NA	NA	NA
60	5.9147	0.771129321	46.993	NA	NA	0.005609089	NA	NA	NA	NA	NA
60	5.7625	0.665040439	47.164	NA	NA	0.009929604	NA	NA	NA	NA	NA
60	5.5976	0.728021814	47.335	NA	NA	0.014250119	NA	NA	NA	NA	NA
60	5.8834	0.771129321	47.436	NA	NA	0.016802002	NA	NA	NA	NA	NA
60	5.6422	0.706600739	47.563	NA	NA	0.020010806	NA	NA	NA	NA	NA
60	5.8772	0.861797324	47.635	NA	NA	0.02182997	NA	NA	NA	NA	NA
60	5.9217	0.685826778	47.725	NA	NA	0.024103925	NA	NA	NA	NA	NA
60	5.9409	0.624739692	47.816	NA	NA	0.026403146	NA	NA	NA	NA	NA
60	5.7505	0.459107182	47.957	NA	NA	0.029965676	NA	NA	NA	NA	NA
60	5.8713	0.7935	48.123	NA	NA	0.03415986	NA	NA	NA	NA	NA
60	6.0429	0.566501497	48.287	NA	NA	0.038303512	NA	NA	NA	NA	NA
60	5.7319	0.862164241	48.43	NA	NA	0.041916574	NA	NA	NA	NA	NA
60	5.5288	0.861797324	48.541	NA	NA	0.044721119	NA	NA	NA	NA	NA
60	5.8655	0.529354592	48.687	NA	NA	0.048409979	NA	NA	NA	NA	NA
60	5.5608	0.72768465	48.8	NA	NA	0.051265056	NA	NA	NA	NA	NA
60	5.6371	0.56679899	48.951	NA	NA	0.055080248	NA	NA	NA	NA	NA
60	5.6881	0.83883896	49.087	NA	NA	0.058516447	NA	NA	NA	NA	NA
60	5.777	0.706268573	49.192	NA	NA	0.061169395	NA	NA	NA	NA	NA
60	5.8533	0.771129321	49.267	NA	NA	0.063064357	NA	NA	NA	NA	NA
60	5.6502	0.909020655	49.347	NA	NA	0.065085651	NA	NA	NA	NA	NA
60	5.7709	0.957890293	49.421	NA	NA	0.066955347	NA	NA	NA	NA	NA
60	5.7201	0.476132237	49.453	NA	NA	0.067763865	NA	NA	NA	NA	NA
60	5.8155	1.191479175	49.542	NA	NA	0.070012554	NA	NA	NA	NA	NA
60	5.9235	1.246894562	49.708	NA	NA	0.074206738	NA	NA	NA	NA	NA
60	5.8856	0.933295541	49.831	NA	NA	0.077314476	NA	NA	NA	NA	NA
60	5.6572	0.83883896	50.064	NA	NA	0.083201494	NA	NA	NA	NA	NA
60	5.6699	1.191047832	50.109	NA	NA	0.084338471	NA	NA	NA	NA	NA
60	5.8668	0.885437474	50.166	NA	NA	0.085778643	NA	NA	NA	NA	NA
60	5.8478	1.274405287	50.213	NA	NA	0.086966153	NA	NA	NA	NA	NA
60	5.7653	0.706600739	50.26	NA	NA	0.088153663	NA	NA	NA	NA	NA
60	5.4606	0.95750354	50.327	NA	NA	0.089846496	NA	NA	NA	NA	NA
60	5.7146	0.885437474	50.383	NA	NA	0.091261402	NA	NA	NA	NA	NA
60	5.9242	0.909020655	50.409	NA	NA	0.091918322	NA	NA	NA	NA	NA
60	5.8037	0.585698498	50.564	NA	NA	0.095834578	NA	NA	NA	NA	NA
60	5.6515	1.218811264	50.735	NA	NA	0.100155093	NA	NA	NA	NA	NA
60	5.6452	0.95750354	50.842	NA	NA	0.102858573	NA	NA	NA	NA	NA
60	5.7471	0.861797324	51.16	NA	NA	0.110893215	NA	NA	NA	NA	NA
60	5.7346	0.72768465	51.45	NA	NA	0.118220404	NA	NA	NA	NA	NA
60	6.065	0.7935	51.657	NA	NA	0.123450501	NA	NA	NA	NA	NA
60	5.6779	0.885437474	51.848	NA	NA	0.128276339	NA	NA	NA	NA	NA
60	5.659	0.749420593	52.077	NA	NA	0.134062291	NA	NA	NA	NA	NA
60	5.6656	0.749420593	52.29	NA	NA	0.139443985	NA	NA	NA	NA	NA
60	5.8436	0.885437474	52.577	NA	NA	0.146695376	NA	NA	NA	NA	NA
60	5.5199	1.605837503	52.659	NA	NA	0.148767202	NA	NA	NA	NA	NA
60	5.7168	0.567394211	52.731	NA	NA	0.150586366	NA	NA	NA	NA	NA
60	5.7106	0.771129321	52.884	NA	NA	0.15445209	NA	NA	NA	NA	NA
60	5.6281	0.885437474	52.962	NA	NA	0.156422851	NA	NA	NA	NA	NA
60	5.8504	0.7935	53.064	NA	NA	0.159	NA	NA	NA	NA	NA
