#Bornemann and Mutterlose 2006 Watznaueria place											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	1.1335	0.006123074	46.776	0.159	0.025078864	0	linear	1	no	coccolith	Watznaueria_barnesiae
60	1.1329	0.006123074	46.822	NA	NA	0.001153628	NA	NA	NA	NA	NA
60	1.1409	0.005938932	46.991	NA	NA	0.005391956	NA	NA	NA	NA	NA
60	1.1366	0.006310027	47.16	NA	NA	0.009630284	NA	NA	NA	NA	NA
60	1.1372	0.006123074	47.329	NA	NA	0.013868612	NA	NA	NA	NA	NA
60	1.1463	0.006154037	47.406	NA	NA	0.015799685	NA	NA	NA	NA	NA
60	1.1451	0.006123074	47.498	NA	NA	0.01810694	NA	NA	NA	NA	NA
60	1.1732	0.005579082	47.651	NA	NA	0.021944006	NA	NA	NA	NA	NA
60	1.1329	0.006310027	47.759	NA	NA	0.024652524	NA	NA	NA	NA	NA
60	1.1421	0.005757601	47.82	NA	NA	0.026182334	NA	NA	NA	NA	NA
60	1.1506	0.006123074	47.928	NA	NA	0.028890852	NA	NA	NA	NA	NA
60	1.1555	0.006310027	48.112	NA	NA	0.033505363	NA	NA	NA	NA	NA
60	1.1494	0.006531693	48.342	NA	NA	0.039273502	NA	NA	NA	NA	NA
60	1.1537	0.006341459	48.434	NA	NA	0.041580757	NA	NA	NA	NA	NA
60	1.1341	0.001673092	48.572	NA	NA	0.04504164	NA	NA	NA	NA	NA
60	1.1701	0.013963088	48.695	NA	NA	0.048126341	NA	NA	NA	NA	NA
60	1.147	0.005969427	48.787	NA	NA	0.050433596	NA	NA	NA	NA	NA
60	1.1457	0.006123074	48.941	NA	NA	0.054295741	NA	NA	NA	NA	NA
60	1.1377	0.006531693	49.154	NA	NA	0.059637539	NA	NA	NA	NA	NA
60	1.1659	0.016294617	49.232	NA	NA	0.061593691	NA	NA	NA	NA	NA
60	1.1921	0.006310027	49.263	NA	NA	0.062371136	NA	NA	NA	NA	NA
60	1.1512	0.006692368	49.355	NA	NA	0.064678391	NA	NA	NA	NA	NA
60	1.1756	0.000765306	49.463	NA	NA	0.067386909	NA	NA	NA	NA	NA
60	1.1598	0.001889838	49.509	NA	NA	0.068540536	NA	NA	NA	NA	NA
60	1.1543	0.00637297	49.555	NA	NA	0.069694164	NA	NA	NA	NA	NA
60	1.1713	0.006154037	49.754	NA	NA	0.074684858	NA	NA	NA	NA	NA
60	1.1604	0.006123074	49.846	NA	NA	0.076992114	NA	NA	NA	NA	NA
60	1.1939	0.006123074	50.077	NA	NA	0.082785331	NA	NA	NA	NA	NA
60	1.1683	0.006499792	50.107	NA	NA	0.083537697	NA	NA	NA	NA	NA
60	1.1585	0.001484733	50.2	NA	NA	0.085870032	NA	NA	NA	NA	NA
60	1.1701	0.005757601	50.246	NA	NA	0.087023659	NA	NA	NA	NA	NA
60	1.1835	0.006123074	50.276	NA	NA	0.087776025	NA	NA	NA	NA	NA
60	1.1738	0.006154037	50.322	NA	NA	0.088929653	NA	NA	NA	NA	NA
60	1.1793	0.005969427	50.368	NA	NA	0.090083281	NA	NA	NA	NA	NA
60	1.1524	0.005579082	50.414	NA	NA	0.091236909	NA	NA	NA	NA	NA
60	1.1677	0.005579082	50.553	NA	NA	0.094722871	NA	NA	NA	NA	NA
60	1.1774	0.006310027	50.752	NA	NA	0.099713565	NA	NA	NA	NA	NA
60	1.1652	0.006154037	50.921	NA	NA	0.103951893	NA	NA	NA	NA	NA
60	1.1732	0.005969427	51.182	NA	NA	0.110497476	NA	NA	NA	NA	NA
60	1.1841	0.006154037	51.52	NA	NA	0.118974132	NA	NA	NA	NA	NA
60	1.1701	0.006692368	51.689	NA	NA	0.123212461	NA	NA	NA	NA	NA
60	1.1634	0.006310027	51.919	NA	NA	0.128980599	NA	NA	NA	NA	NA
60	1.1793	0.006123074	52.118	NA	NA	0.133971293	NA	NA	NA	NA	NA
60	1.1793	0.006123074	52.303	NA	NA	0.138610883	NA	NA	NA	NA	NA
60	1.1738	0.006123074	52.61	NA	NA	0.146310095	NA	NA	NA	NA	NA
60	1.1848	0.005969427	52.686	NA	NA	0.148216088	NA	NA	NA	NA	NA
60	1.1726	0.006341459	52.763	NA	NA	0.150147161	NA	NA	NA	NA	NA
60	1.1707	0.006341459	52.917	NA	NA	0.154009306	NA	NA	NA	NA	NA
60	1.1488	0.005938932	53.024	NA	NA	0.156692744	NA	NA	NA	NA	NA
60	1.1713	0.006310027	53.116	NA	NA	0.159	NA	NA	NA	NA	NA
