#Bornemann and Mutterlose 2006 Watznaueria ratio											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	0.48191	0.001535411	46.751	0.159	0.025122452	0	linear	1	no	coccolith	Watznaueria_barnesiae
60	0.4767	0.001644121	46.844	NA	NA	0.002336388	NA	NA	NA	NA	NA
60	0.48226	0.001533862	47.025	NA	NA	0.006883552	NA	NA	NA	NA	NA
60	0.4913	0.001588514	47.129	NA	NA	0.009496287	NA	NA	NA	NA	NA
60	0.48157	0.001533862	47.346	NA	NA	0.014947859	NA	NA	NA	NA	NA
60	0.48991	0.001590089	47.434	NA	NA	0.017158635	NA	NA	NA	NA	NA
60	0.4847	0.001428924	47.528	NA	NA	0.019520145	NA	NA	NA	NA	NA
60	0.48017	0.001535411	47.621	NA	NA	0.021856533	NA	NA	NA	NA	NA
60	0.484	0.001535411	47.741	NA	NA	0.024871228	NA	NA	NA	NA	NA
60	0.46557	0.001535411	47.84	NA	NA	0.02735835	NA	NA	NA	NA	NA
60	0.4687	0.001481689	47.945	NA	NA	0.029996208	NA	NA	NA	NA	NA
60	0.47461	0.001428924	48.126	NA	NA	0.034543372	NA	NA	NA	NA	NA
60	0.47217	0.001533862	48.341	NA	NA	0.039944699	NA	NA	NA	NA	NA
60	0.48122	0.001588514	48.429	NA	NA	0.042155475	NA	NA	NA	NA	NA
60	0.47391	0.001588514	48.569	NA	NA	0.045672618	NA	NA	NA	NA	NA
60	0.47426	0.001644121	48.691	NA	NA	0.048737557	NA	NA	NA	NA	NA
60	0.48017	0.001644121	48.81	NA	NA	0.051727129	NA	NA	NA	NA	NA
60	0.49304	0.001644121	48.927	NA	NA	0.054666456	NA	NA	NA	NA	NA
60	0.46904	0.001644121	49.135	NA	NA	0.059891926	NA	NA	NA	NA	NA
60	0.47878	0.001645724	49.238	NA	NA	0.062479539	NA	NA	NA	NA	NA
60	0.47704	0.001533862	49.3	NA	NA	0.064037131	NA	NA	NA	NA	NA
60	0.48017	0.001588514	49.329	NA	NA	0.064765682	NA	NA	NA	NA	NA
60	0.4753	0.001644121	49.453	NA	NA	0.067880866	NA	NA	NA	NA	NA
60	0.48052	0.001588514	49.466	NA	NA	0.068207458	NA	NA	NA	NA	NA
60	0.4767	0.001481689	49.528	NA	NA	0.06976505	NA	NA	NA	NA	NA
60	0.46835	0.00175655	49.73	NA	NA	0.074839785	NA	NA	NA	NA	NA
60	0.48226	0.001588514	49.877	NA	NA	0.078532786	NA	NA	NA	NA	NA
60	0.47183	0.001644121	50.034	NA	NA	0.082477011	NA	NA	NA	NA	NA
60	0.46696	0.001700686	50.127	NA	NA	0.084813399	NA	NA	NA	NA	NA
60	0.48191	0.001481689	50.167	NA	NA	0.085818297	NA	NA	NA	NA	NA
60	0.47704	0.001644121	50.199	NA	NA	0.086622215	NA	NA	NA	NA	NA
60	0.45617	0.001644121	50.284	NA	NA	0.088757624	NA	NA	NA	NA	NA
60	0.47217	0.001481689	50.323	NA	NA	0.089737399	NA	NA	NA	NA	NA
60	0.49026	0.005926756	50.347	NA	NA	0.090340338	NA	NA	NA	NA	NA
60	0.45826	0.001481689	50.405	NA	NA	0.09179744	NA	NA	NA	NA	NA
60	0.45687	0.001588514	50.558	NA	NA	0.095641176	NA	NA	NA	NA	NA
60	0.47113	0.001590089	50.72	NA	NA	0.099711013	NA	NA	NA	NA	NA
60	0.47148	0.001480168	50.857	NA	NA	0.103152789	NA	NA	NA	NA	NA
60	0.48365	0.001699056	51.158	NA	NA	0.110714647	NA	NA	NA	NA	NA
60	0.46939	0.001535411	51.483	NA	NA	0.118879444	NA	NA	NA	NA	NA
60	0.47217	0.001586939	51.665	NA	NA	0.12345173	NA	NA	NA	NA	NA
60	0.47948	0.001758206	51.861	NA	NA	0.128375731	NA	NA	NA	NA	NA
60	0.47043	0.001535411	52.078	NA	NA	0.133827303	NA	NA	NA	NA	NA
60	0.47113	0.001590089	52.291	NA	NA	0.139178385	NA	NA	NA	NA	NA
60	0.47983	0.001535411	52.577	NA	NA	0.146363407	NA	NA	NA	NA	NA
60	0.47252	0.001535411	52.641	NA	NA	0.147971243	NA	NA	NA	NA	NA
60	0.4593	0.001758206	52.753	NA	NA	0.150784958	NA	NA	NA	NA	NA
60	0.46904	0.001590089	52.902	NA	NA	0.154528204	NA	NA	NA	NA	NA
60	0.46974	0.001588514	53.008	NA	NA	0.157191183	NA	NA	NA	NA	NA
60	0.48226	0.001758206	53.08	NA	NA	0.159	NA	NA	NA	NA	NA
