#Bornemann and Mutterlose 2006 Watznaueria runit											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
60	2.6921	0.223783163	46.737	0.159	0.02499607	0	linear	1	no	coccolith	Watznaueria_barnesiae
60	2.5661	0.148778009	46.84	NA	NA	0.002574595	NA	NA	NA	NA	NA
60	2.8528	0.300030612	47.019	NA	NA	0.007048892	NA	NA	NA	NA	NA
60	2.8244	0.229616241	47.156	NA	NA	0.010473353	NA	NA	NA	NA	NA
60	2.689	0.17915051	47.334	NA	NA	0.014922654	NA	NA	NA	NA	NA
60	2.8685	0.18984375	47.448	NA	NA	0.017772206	NA	NA	NA	NA	NA
60	2.7299	0.17915051	47.535	NA	NA	0.019946864	NA	NA	NA	NA	NA
60	2.8213	0.293143482	47.661	NA	NA	0.023096368	NA	NA	NA	NA	NA
60	2.8591	0.184373529	47.754	NA	NA	0.025421003	NA	NA	NA	NA	NA
60	2.7709	0.260512117	47.858	NA	NA	0.028020594	NA	NA	NA	NA	NA
60	2.6921	0.163611867	47.917	NA	NA	0.029495362	NA	NA	NA	NA	NA
60	2.7866	0.229616241	48.119	NA	NA	0.034544568	NA	NA	NA	NA	NA
60	2.8528	0.189671595	48.336	NA	NA	0.039968716	NA	NA	NA	NA	NA
60	2.7614	0.260512117	48.455	NA	NA	0.042943248	NA	NA	NA	NA	NA
60	2.6197	0.229616241	48.572	NA	NA	0.045867788	NA	NA	NA	NA	NA
60	2.7772	0.158693878	48.701	NA	NA	0.049092281	NA	NA	NA	NA	NA
60	2.6827	0.300030612	48.789	NA	NA	0.051291935	NA	NA	NA	NA	NA
60	2.7551	0.184543263	48.945	NA	NA	0.055191322	NA	NA	NA	NA	NA
60	2.6732	0.357061224	49.141	NA	NA	0.060090552	NA	NA	NA	NA	NA
60	2.7583	0.212160077	49.236	NA	NA	0.062465178	NA	NA	NA	NA	NA
60	2.8024	0.320724021	49.269	NA	NA	0.063290049	NA	NA	NA	NA	NA
60	2.7079	0.267006911	49.357	NA	NA	0.065489703	NA	NA	NA	NA	NA
60	2.7457	0.342338648	49.435	NA	NA	0.067439396	NA	NA	NA	NA	NA
60	2.7488	0.218025133	49.466	NA	NA	0.068214274	NA	NA	NA	NA	NA
60	2.7866	0.395099477	49.559	NA	NA	0.070538909	NA	NA	NA	NA	NA
60	2.7646	0.364419448	49.742	NA	NA	0.07511319	NA	NA	NA	NA	NA
60	2.8433	0.300030612	49.898	NA	NA	0.079012577	NA	NA	NA	NA	NA
60	2.6669	0.217840639	50.06	NA	NA	0.08306194	NA	NA	NA	NA	NA
60	2.6512	0.306778777	50.136	NA	NA	0.084961641	NA	NA	NA	NA	NA
60	2.8307	0.334979214	50.189	NA	NA	0.086286433	NA	NA	NA	NA	NA
60	2.7772	0.279818136	50.248	NA	NA	0.087761201	NA	NA	NA	NA	NA
60	2.626	0.25409729	50.242	NA	NA	0.087611225	NA	NA	NA	NA	NA
60	2.5724	0.178983275	50.286	NA	NA	0.088711052	NA	NA	NA	NA	NA
60	2.7898	0.273168406	50.386	NA	NA	0.091210659	NA	NA	NA	NA	NA
60	2.7173	0.266802738	50.414	NA	NA	0.091910549	NA	NA	NA	NA	NA
60	2.648	0.174002538	50.58	NA	NA	0.096059896	NA	NA	NA	NA	NA
60	2.6638	0.349544357	50.734	NA	NA	0.099909291	NA	NA	NA	NA	NA
60	2.6386	0.235716199	50.901	NA	NA	0.104083635	NA	NA	NA	NA	NA
60	2.7803	0.247959184	51.183	NA	NA	0.111132526	NA	NA	NA	NA	NA
60	2.6827	0.217840639	51.531	NA	NA	0.119831159	NA	NA	NA	NA	NA
60	2.8622	0.25409729	51.706	NA	NA	0.124205471	NA	NA	NA	NA	NA
60	2.7236	0.25409729	51.9	NA	NA	0.129054708	NA	NA	NA	NA	NA
60	2.6543	0.223783163	52.097	NA	NA	0.133978934	NA	NA	NA	NA	NA
60	2.6606	0.184543263	52.265	NA	NA	0.138178274	NA	NA	NA	NA	NA
60	2.8118	0.260310444	52.639	NA	NA	0.147526804	NA	NA	NA	NA	NA
60	2.6008	0.184373529	52.692	NA	NA	0.148851596	NA	NA	NA	NA	NA
60	2.6386	0.247959184	52.77	NA	NA	0.150801289	NA	NA	NA	NA	NA
60	2.6701	0.212160077	52.909	NA	NA	0.154275743	NA	NA	NA	NA	NA
60	2.6417	0.286547832	53.015	NA	NA	0.156925326	NA	NA	NA	NA	NA
60	2.8087	0.206374987	53.098	NA	NA	0.159	NA	NA	NA	NA	NA
