N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
6	0.411853333	0.000738371	-146.405	6.31	0.153802405	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
10	0.400121	0.001899582	-144.44	NA	NA	0.302221725	NA	NA	NA	NA	NA
12	0.405114167	0.002299002	-142.9125	NA	NA	0.537154899	NA	NA	NA	NA	NA
9	0.433986667	0.001374637	-141.4166667	NA	NA	0.767217658	NA	NA	NA	NA	NA
10	0.388995	0.001329086	-138.46	NA	NA	1.221960106	NA	NA	NA	NA	NA
10	0.396591	0.00472553	-135.494	NA	NA	1.678138039	NA	NA	NA	NA	NA
10	0.434242	0.001684857	-132.552	NA	NA	2.130624714	NA	NA	NA	NA	NA
11	0.411281818	0.002414294	-129.4318182	NA	NA	2.610516178	NA	NA	NA	NA	NA
9	0.401146667	0.001539349	-126.43	NA	NA	3.072203036	NA	NA	NA	NA	NA
7	0.441695714	0.003917498	-123.4042857	NA	NA	3.537565172	NA	NA	NA	NA	NA
8	0.40451625	0.000988436	-120.42125	NA	NA	3.996363236	NA	NA	NA	NA	NA
8	0.44661625	0.003832449	-111.38625	NA	NA	5.385967964	NA	NA	NA	NA	NA
9	0.388703333	0.012516497	-108.4466667	NA	NA	5.838082944	NA	NA	NA	NA	NA
6	0.410598333	0.004818009	-105.3783333	NA	NA	6.31	NA	NA	NA	NA	NA
