N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
8	59.38275	280.6148754	-146.51125	6.31	0.153702278	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
11	56.14318182	201.2172004	-144.5827273	NA	NA	2.96E-01	NA	NA	NA	NA	NA
15	56.4442	170.6115805	-143.1433333	NA	NA	5.18E-01	NA	NA	NA	NA	NA
18	55.72944444	280.9591831	-141.6427778	NA	NA	7.48E-01	NA	NA	NA	NA	NA
14	65.31207143	357.1415093	-138.6257143	NA	NA	1.21E+00	NA	NA	NA	NA	NA
11	59.58	157.8757006	-135.5690909	NA	NA	1.68E+00	NA	NA	NA	NA	NA
13	92.98469231	868.9839097	-132.5684615	NA	NA	2.14E+00	NA	NA	NA	NA	NA
14	65.064	1327.567304	-129.6221429	NA	NA	2.60E+00	NA	NA	NA	NA	NA
11	75.09845455	1092.33496	-126.5409091	NA	NA	3.07E+00	NA	NA	NA	NA	NA
10	90.3702	2970.739465	-123.613	NA	NA	3.52E+00	NA	NA	NA	NA	NA
13	66.52130769	525.9244516	-120.6907692	NA	NA	3.97E+00	NA	NA	NA	NA	NA
7	61.85914286	398.7480235	-117.7542857	NA	NA	4.42E+00	NA	NA	NA	NA	NA
10	88.9636	1279.960698	-114.62	NA	NA	4.90E+00	NA	NA	NA	NA	NA
9	107.254	1426.401304	-111.5655556	NA	NA	5.37E+00	NA	NA	NA	NA	NA
10	103.3794	2222.557839	-108.574	NA	NA	5.83E+00	NA	NA	NA	NA	NA
14	84.65535714	455.915793	-105.4578571	NA	NA	6.31E+00	NA	NA	NA	NA	NA
