N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
6	1.2676	0.016645596	-146.6883333	6.31	0.153502603	0	linear	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
17	1.265841176	0.020690439	-144.5970588	NA	NA	3.21E-01	NA	NA	NA	NA	NA
13	1.191845385	0.01886583	-143.1915385	NA	NA	5.37E-01	NA	NA	NA	NA	NA
21	1.221080476	0.026060583	-141.6657143	NA	NA	7.71E-01	NA	NA	NA	NA	NA
18	1.178495556	0.020025968	-138.62	NA	NA	1.24E+00	NA	NA	NA	NA	NA
17	1.149998235	0.009624952	-135.6611765	NA	NA	1.69E+00	NA	NA	NA	NA	NA
14	1.134378571	0.01115562	-132.575	NA	NA	2.17E+00	NA	NA	NA	NA	NA
19	1.142622105	0.017058575	-129.6315789	NA	NA	2.62E+00	NA	NA	NA	NA	NA
14	1.151794286	0.014180368	-126.6835714	NA	NA	3.07E+00	NA	NA	NA	NA	NA
6	1.019941667	0.00605996	-123.615	NA	NA	3.54E+00	NA	NA	NA	NA	NA
8	1.09276125	0.014111818	-120.64375	NA	NA	4.00E+00	NA	NA	NA	NA	NA
10	1.137	0.006744098	-114.665	NA	NA	4.92E+00	NA	NA	NA	NA	NA
11	1.249276364	0.047945454	-108.5954545	NA	NA	5.85E+00	NA	NA	NA	NA	NA
13	1.146161538	0.011823286	-105.5815385	NA	NA	6.31E+00	NA	NA	NA	NA	NA
