N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	0.781075714	0.014130041	-146.4357143	6.31	0.153217764	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
14	0.751555	0.025832596	-144.4514286	NA	NA	3.04E-01	NA	NA	NA	NA	NA
14	0.723284	0.035721491	-142.922	NA	NA	5.38E-01	NA	NA	NA	NA	NA
18	0.738516111	0.02229073	-141.5244444	NA	NA	7.52E-01	NA	NA	NA	NA	NA
16	0.705579375	0.021266196	-138.436875	NA	NA	1.23E+00	NA	NA	NA	NA	NA
21	0.634389048	0.037897205	-135.507619	NA	NA	1.67E+00	NA	NA	NA	NA	NA
12	0.722788333	0.010819683	-132.4933333	NA	NA	2.14E+00	NA	NA	NA	NA	NA
21	0.699979524	0.020750794	-129.3795238	NA	NA	2.61E+00	NA	NA	NA	NA	NA
16	0.626663125	0.021904658	-126.430625	NA	NA	3.07E+00	NA	NA	NA	NA	NA
8	0.74623875	0.014212738	-123.42125	NA	NA	3.53E+00	NA	NA	NA	NA	NA
13	0.718123077	0.009797583	-120.4653846	NA	NA	3.98E+00	NA	NA	NA	NA	NA
8	0.65285375	0.03023967	-117.3975	NA	NA	4.45E+00	NA	NA	NA	NA	NA
11	0.693633636	0.011636442	-114.4254545	NA	NA	4.90E+00	NA	NA	NA	NA	NA
7	0.668784286	0.020309902	-111.4228571	NA	NA	5.36E+00	NA	NA	NA	NA	NA
11	0.679220909	0.04597063	-108.2872727	NA	NA	5.85E+00	NA	NA	NA	NA	NA
12	0.691913333	0.016897492	-105.2525	NA	NA	6.31E+00	NA	NA	NA	NA	NA
