N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	0.132163889	0.000838787	-237.1588889	9.26	0.104515983	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
9	0.143105556	0.000921968	-235.75	NA	NA	1.47E-01	NA	NA	NA	NA	NA
11	0.149088091	0.00133825	-230.6427273	NA	NA	6.81E-01	NA	NA	NA	NA	NA
11	0.137531	0.001638945	-227.6781818	NA	NA	9.91E-01	NA	NA	NA	NA	NA
11	0.130935	0.001112135	-226.0663636	NA	NA	1.16E+00	NA	NA	NA	NA	NA
7	0.127703571	0.000727756	-224.63	NA	NA	1.31E+00	NA	NA	NA	NA	NA
9	0.196796667	0.001742478	-212.8677778	NA	NA	2.54E+00	NA	NA	NA	NA	NA
13	0.191766154	0.001664216	-211.2415385	NA	NA	2.71E+00	NA	NA	NA	NA	NA
10	0.16571	0.000950797	-208.204	NA	NA	3.03E+00	NA	NA	NA	NA	NA
10	0.176781	0.001546159	-206.822	NA	NA	3.17E+00	NA	NA	NA	NA	NA
10	0.182389	0.00152035	-202.193	NA	NA	3.65E+00	NA	NA	NA	NA	NA
8	0.16221125	0.000926085	-200.84125	NA	NA	3.80E+00	NA	NA	NA	NA	NA
9	0.162333333	0.001353724	-199.1955556	NA	NA	3.97E+00	NA	NA	NA	NA	NA
10	0.164397	0.001555009	-196.723	NA	NA	4.23E+00	NA	NA	NA	NA	NA
12	0.189411667	0.002094941	-195.33	NA	NA	4.37E+00	NA	NA	NA	NA	NA
11	0.170086364	0.001462526	-193.7536364	NA	NA	4.54E+00	NA	NA	NA	NA	NA
13	0.185635385	0.002604369	-192.3876923	NA	NA	4.68E+00	NA	NA	NA	NA	NA
12	0.1800025	0.00233266	-189.6725	NA	NA	4.96E+00	NA	NA	NA	NA	NA
12	0.195915	0.002026204	-187.78	NA	NA	5.16E+00	NA	NA	NA	NA	NA
10	0.173673	0.001911114	-179.878	NA	NA	5.99E+00	NA	NA	NA	NA	NA
12	0.193315	0.002084334	-177.26	NA	NA	6.26E+00	NA	NA	NA	NA	NA
14	0.201754286	0.002361547	-172.9992857	NA	NA	6.71E+00	NA	NA	NA	NA	NA
10	0.190739	0.001437285	-169.429	NA	NA	7.08E+00	NA	NA	NA	NA	NA
11	0.202693636	0.0016028	-165.7081818	NA	NA	7.47E+00	NA	NA	NA	NA	NA
11	0.219683636	0.001501541	-162.7045455	NA	NA	7.78E+00	NA	NA	NA	NA	NA
12	0.204155833	0.001872431	-159.9233333	NA	NA	8.07E+00	NA	NA	NA	NA	NA
11	0.213467273	0.001752161	-156.1954545	NA	NA	8.46E+00	NA	NA	NA	NA	NA
14	0.207726429	0.002785212	-151.51	NA	NA	8.95E+00	NA	NA	NA	NA	NA
13	0.208509231	0.002918958	-148.56	NA	NA	9.26E+00	NA	NA	NA	NA	NA
