N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
8	0.092194625	0.000671226	-236.13375	9.26	0.10582706	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
11	0.108405727	0.000804271	-230.9318182	NA	NA	5.51E-01	NA	NA	NA	NA	NA
10	0.1171311	0.000717771	-227.889	NA	NA	8.73E-01	NA	NA	NA	NA	NA
9	0.110192	0.00057116	-226.48	NA	NA	1.02E+00	NA	NA	NA	NA	NA
13	0.110175615	0.000932721	-224.8930769	NA	NA	1.19E+00	NA	NA	NA	NA	NA
13	0.184534615	0.001403399	-213.0830769	NA	NA	2.44E+00	NA	NA	NA	NA	NA
13	0.17612	0.001858298	-211.4876923	NA	NA	2.61E+00	NA	NA	NA	NA	NA
11	0.177850909	0.001139246	-208.4890909	NA	NA	2.93E+00	NA	NA	NA	NA	NA
8	0.17820625	0.002499561	-207.0975	NA	NA	3.07E+00	NA	NA	NA	NA	NA
10	0.173489	0.001034566	-202.43	NA	NA	3.57E+00	NA	NA	NA	NA	NA
14	0.171785	0.001251714	-201.0464286	NA	NA	3.71E+00	NA	NA	NA	NA	NA
14	0.175267143	0.001304362	-199.4714286	NA	NA	3.88E+00	NA	NA	NA	NA	NA
13	0.168152615	0.001849344	-197.0246154	NA	NA	4.14E+00	NA	NA	NA	NA	NA
12	0.154861583	0.001020137	-195.5933333	NA	NA	4.29E+00	NA	NA	NA	NA	NA
9	0.162502222	0.001182836	-194.06	NA	NA	4.45E+00	NA	NA	NA	NA	NA
14	0.179712857	0.001888952	-192.6271429	NA	NA	4.60E+00	NA	NA	NA	NA	NA
13	0.165302308	0.001655433	-190.1338462	NA	NA	4.87E+00	NA	NA	NA	NA	NA
14	0.163282143	0.000997175	-188.0285714	NA	NA	5.09E+00	NA	NA	NA	NA	NA
13	0.179336154	0.00111035	-180.2146154	NA	NA	5.92E+00	NA	NA	NA	NA	NA
15	0.206990667	0.002414955	-177.4013333	NA	NA	6.22E+00	NA	NA	NA	NA	NA
13	0.215272308	0.001203462	-173.1569231	NA	NA	6.66E+00	NA	NA	NA	NA	NA
10	0.180497	0.000894117	-169.762	NA	NA	7.02E+00	NA	NA	NA	NA	NA
15	0.206448667	0.001512479	-166.052	NA	NA	7.42E+00	NA	NA	NA	NA	NA
15	0.208128	0.002887273	-163.0453333	NA	NA	7.73E+00	NA	NA	NA	NA	NA
15	0.236454667	0.003787322	-160.0493333	NA	NA	8.05E+00	NA	NA	NA	NA	NA
14	0.223555	0.001882997	-156.3057143	NA	NA	8.45E+00	NA	NA	NA	NA	NA
14	0.213282857	0.002400152	-151.6585714	NA	NA	8.94E+00	NA	NA	NA	NA	NA
16	0.204048125	0.00214985	-148.6325	NA	NA	9.26E+00	NA	NA	NA	NA	NA
