N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
8	0.38018	0.003795535	-237.37375	9.26	0.104248043	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
10	0.376108	0.004515222	-235.774	NA	NA	1.67E-01	NA	NA	NA	NA	NA
13	0.349446923	0.00367132	-230.58	NA	NA	7.08E-01	NA	NA	NA	NA	NA
15	0.335491333	0.002237345	-227.5513333	NA	NA	1.02E+00	NA	NA	NA	NA	NA
12	0.363886667	0.00220606	-226.1133333	NA	NA	1.17E+00	NA	NA	NA	NA	NA
16	0.366365625	0.002539053	-224.521875	NA	NA	1.34E+00	NA	NA	NA	NA	NA
10	0.328993	0.000612109	-212.774	NA	NA	2.56E+00	NA	NA	NA	NA	NA
11	0.346634545	0.001738584	-211.2145455	NA	NA	2.73E+00	NA	NA	NA	NA	NA
16	0.326504375	0.001602997	-208.21125	NA	NA	3.04E+00	NA	NA	NA	NA	NA
9	0.323886667	0.001939932	-206.8066667	NA	NA	3.19E+00	NA	NA	NA	NA	NA
16	0.34589125	0.001681448	-202.17	NA	NA	3.67E+00	NA	NA	NA	NA	NA
13	0.356334615	0.001111616	-200.7730769	NA	NA	3.82E+00	NA	NA	NA	NA	NA
16	0.35843	0.00232899	-199.189375	NA	NA	3.98E+00	NA	NA	NA	NA	NA
14	0.347734286	0.001609436	-196.7328571	NA	NA	4.24E+00	NA	NA	NA	NA	NA
12	0.351669167	0.000882483	-195.36	NA	NA	4.38E+00	NA	NA	NA	NA	NA
10	0.362506	0.001364984	-193.779	NA	NA	4.54E+00	NA	NA	NA	NA	NA
15	0.350529333	0.002061522	-192.3986667	NA	NA	4.69E+00	NA	NA	NA	NA	NA
13	0.360258462	0.002592829	-189.9238462	NA	NA	4.95E+00	NA	NA	NA	NA	NA
15	0.349999333	0.001444532	-187.8686667	NA	NA	5.16E+00	NA	NA	NA	NA	NA
14	0.346896429	0.00082725	-180.0342857	NA	NA	5.98E+00	NA	NA	NA	NA	NA
13	0.333345385	0.001801373	-177.2253846	NA	NA	6.27E+00	NA	NA	NA	NA	NA
16	0.349431875	0.003555314	-172.96625	NA	NA	6.71E+00	NA	NA	NA	NA	NA
10	0.358691	0.000582626	-169.625	NA	NA	7.06E+00	NA	NA	NA	NA	NA
14	0.325414286	0.003347164	-165.8964286	NA	NA	7.45E+00	NA	NA	NA	NA	NA
13	0.322999231	0.002257812	-162.8623077	NA	NA	7.77E+00	NA	NA	NA	NA	NA
13	0.321458462	0.002375614	-159.8676923	NA	NA	8.08E+00	NA	NA	NA	NA	NA
13	0.329886154	0.001513095	-156.1630769	NA	NA	8.47E+00	NA	NA	NA	NA	NA
12	0.3609275	0.00139087	-151.5625	NA	NA	8.95E+00	NA	NA	NA	NA	NA
14	0.341039286	0.00175616	-148.5471429	NA	NA	9.26E+00	NA	NA	NA	NA	NA
