N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	3.52002	0.996900553	-237.698	9.26	0.104391106	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
14	3.9823	1.062582731	-236.2985714	NA	NA	1.46E-01	NA	NA	NA	NA	NA
15	3.66002	1.886432655	-231.1793333	NA	NA	6.80E-01	NA	NA	NA	NA	NA
20	4.24652	1.890130675	-228.1885	NA	NA	9.93E-01	NA	NA	NA	NA	NA
17	3.95515625	0.886454097	-226.583125	NA	NA	1.16E+00	NA	NA	NA	NA	NA
12	3.930425	0.818855564	-225.2158333	NA	NA	1.30E+00	NA	NA	NA	NA	NA
16	6.3413	2.000021233	-213.249375	NA	NA	2.55E+00	NA	NA	NA	NA	NA
16	5.50570625	1.911723961	-211.8525	NA	NA	2.70E+00	NA	NA	NA	NA	NA
15	4.746093333	1.434600759	-208.8846667	NA	NA	3.01E+00	NA	NA	NA	NA	NA
11	4.806327273	0.83805574	-207.2872727	NA	NA	3.17E+00	NA	NA	NA	NA	NA
15	4.890466667	3.373295641	-202.94	NA	NA	3.63E+00	NA	NA	NA	NA	NA
16	4.37499375	0.851502801	-201.409375	NA	NA	3.79E+00	NA	NA	NA	NA	NA
9	3.637688889	0.303417219	-199.9366667	NA	NA	3.94E+00	NA	NA	NA	NA	NA
8	5.2847875	0.240033744	-200.00125	NA	NA	3.94E+00	NA	NA	NA	NA	NA
16	4.3154875	2.40768532	-197.29375	NA	NA	4.22E+00	NA	NA	NA	NA	NA
15	4.255653333	1.382612201	-195.898	NA	NA	4.36E+00	NA	NA	NA	NA	NA
18	4.193483333	1.328954369	-194.3161111	NA	NA	4.53E+00	NA	NA	NA	NA	NA
18	4.771005556	2.762858476	-192.9105556	NA	NA	4.68E+00	NA	NA	NA	NA	NA
16	4.90408125	4.148963627	-190.43625	NA	NA	4.93E+00	NA	NA	NA	NA	NA
17	4.331441176	2.478334178	-188.3170588	NA	NA	5.15E+00	NA	NA	NA	NA	NA
15	4.20348	1.570994239	-180.5746667	NA	NA	5.96E+00	NA	NA	NA	NA	NA
15	4.476526667	1.140761051	-177.728	NA	NA	6.26E+00	NA	NA	NA	NA	NA
19	6.117842105	2.378963244	-173.5294737	NA	NA	6.70E+00	NA	NA	NA	NA	NA
12	5.145641667	1.549591946	-169.99	NA	NA	7.07E+00	NA	NA	NA	NA	NA
18	5.736233333	2.309651656	-166.4616667	NA	NA	7.44E+00	NA	NA	NA	NA	NA
18	6.829705556	2.659820708	-163.2583333	NA	NA	7.77E+00	NA	NA	NA	NA	NA
17	6.557311765	3.894847604	-160.2594118	NA	NA	8.08E+00	NA	NA	NA	NA	NA
17	5.655747059	2.185162693	-156.5552941	NA	NA	8.47E+00	NA	NA	NA	NA	NA
16	4.9962	2.245843071	-152.05875	NA	NA	8.94E+00	NA	NA	NA	NA	NA
16	4.7875	1.794681052	-148.993125	NA	NA	9.26E+00	NA	NA	NA	NA	NA
