N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	1.1583875	0.002754257	-237.42125	9.26	0.104507301	0	area	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
14	1.136535714	0.005102696	-235.9964286	NA	NA	1.49E-01	NA	NA	NA	NA	NA
17	1.171529412	0.003317692	-230.8864706	NA	NA	6.83E-01	NA	NA	NA	NA	NA
18	1.138566667	0.003916508	-227.9122222	NA	NA	9.94E-01	NA	NA	NA	NA	NA
22	1.137424091	0.008041515	-226.3109091	NA	NA	1.16E+00	NA	NA	NA	NA	NA
17	1.165847059	0.003450014	-224.8994118	NA	NA	1.31E+00	NA	NA	NA	NA	NA
16	1.14645	0.003549451	-212.940625	NA	NA	2.56E+00	NA	NA	NA	NA	NA
16	1.179175	0.00436507	-211.563125	NA	NA	2.70E+00	NA	NA	NA	NA	NA
20	1.15357	0.00582291	-208.5735	NA	NA	3.01E+00	NA	NA	NA	NA	NA
10	1.1683	0.005135764	-206.965	NA	NA	3.18E+00	NA	NA	NA	NA	NA
17	1.197517647	0.005607442	-202.6052941	NA	NA	3.64E+00	NA	NA	NA	NA	NA
15	1.165046667	0.002950267	-201.006	NA	NA	3.81E+00	NA	NA	NA	NA	NA
15	1.152146667	0.003957986	-199.5893333	NA	NA	3.95E+00	NA	NA	NA	NA	NA
16	1.17287	0.006915084	-196.966875	NA	NA	4.23E+00	NA	NA	NA	NA	NA
17	1.165594118	0.003014638	-195.5652941	NA	NA	4.37E+00	NA	NA	NA	NA	NA
19	1.165468421	0.003970376	-194.0205263	NA	NA	4.54E+00	NA	NA	NA	NA	NA
19	1.171131579	0.00778552	-192.6221053	NA	NA	4.68E+00	NA	NA	NA	NA	NA
22	1.138011364	0.011043335	-190.1663636	NA	NA	4.94E+00	NA	NA	NA	NA	NA
17	1.141176471	0.004895301	-188.0529412	NA	NA	5.16E+00	NA	NA	NA	NA	NA
11	1.142279091	0.003807692	-180.3190909	NA	NA	5.97E+00	NA	NA	NA	NA	NA
14	1.146692143	0.004731602	-177.4735714	NA	NA	6.26E+00	NA	NA	NA	NA	NA
20	1.18795	0.004147002	-173.2315	NA	NA	6.71E+00	NA	NA	NA	NA	NA
16	1.17571875	0.006490036	-169.90375	NA	NA	7.06E+00	NA	NA	NA	NA	NA
16	1.18259375	0.006245671	-166.204375	NA	NA	7.44E+00	NA	NA	NA	NA	NA
19	1.175295263	0.007898103	-163.2163158	NA	NA	7.75E+00	NA	NA	NA	NA	NA
19	1.210405263	0.006650702	-160.2010526	NA	NA	8.07E+00	NA	NA	NA	NA	NA
19	1.175194737	0.003299904	-156.4978947	NA	NA	8.46E+00	NA	NA	NA	NA	NA
18	1.176166667	0.002568033	-151.8622222	NA	NA	8.94E+00	NA	NA	NA	NA	NA
18	1.169266667	0.002915307	-148.815	NA	NA	9.26E+00	NA	NA	NA	NA	NA
