N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
14	1.780478571	0.021960608	-237.4578571	9.26	0.104606933	0	linear	1	no	coccolith	Chiasmolithus_bidens_and_unclassified_forms
13	1.944176923	0.080014957	-235.8892308	NA	NA	1.64E-01	NA	NA	NA	NA	NA
16	1.8193	0.056048604	-230.7775	NA	NA	6.99E-01	NA	NA	NA	NA	NA
14	1.825085714	0.041926051	-227.8392857	NA	NA	1.01E+00	NA	NA	NA	NA	NA
17	1.8352	0.041163631	-226.4047059	NA	NA	1.16E+00	NA	NA	NA	NA	NA
12	1.679816667	0.014832969	-224.8391667	NA	NA	1.32E+00	NA	NA	NA	NA	NA
18	2.135477778	0.057743298	-213.1594444	NA	NA	2.54E+00	NA	NA	NA	NA	NA
22	2.104936364	0.101664253	-211.58	NA	NA	2.71E+00	NA	NA	NA	NA	NA
18	2.141827778	0.087443997	-208.5822222	NA	NA	3.02E+00	NA	NA	NA	NA	NA
12	2.184675	0.146188704	-207.2033333	NA	NA	3.16E+00	NA	NA	NA	NA	NA
16	2.12268125	0.077340263	-202.60875	NA	NA	3.65E+00	NA	NA	NA	NA	NA
14	1.931885714	0.108646166	-201.1921429	NA	NA	3.79E+00	NA	NA	NA	NA	NA
14	2.028228571	0.059064179	-199.6335714	NA	NA	3.96E+00	NA	NA	NA	NA	NA
15	2.012546667	0.120775294	-197.1846667	NA	NA	4.21E+00	NA	NA	NA	NA	NA
15	1.92184	0.038335654	-195.7706667	NA	NA	4.36E+00	NA	NA	NA	NA	NA
14	1.994057143	0.045330476	-194.2228571	NA	NA	4.52E+00	NA	NA	NA	NA	NA
16	2.17449375	0.091143179	-192.788125	NA	NA	4.67E+00	NA	NA	NA	NA	NA
20	2.01848	0.086033404	-190.1835	NA	NA	4.95E+00	NA	NA	NA	NA	NA
17	2.043958824	0.073939923	-188.2435294	NA	NA	5.15E+00	NA	NA	NA	NA	NA
15	2.006893333	0.052712474	-180.312	NA	NA	5.98E+00	NA	NA	NA	NA	NA
14	2.121907143	0.11249977	-177.6214286	NA	NA	6.26E+00	NA	NA	NA	NA	NA
16	2.0672375	0.093282284	-173.3475	NA	NA	6.71E+00	NA	NA	NA	NA	NA
14	2.067342857	0.078580406	-169.9357143	NA	NA	7.06E+00	NA	NA	NA	NA	NA
16	2.032825	0.063530038	-166.159375	NA	NA	7.46E+00	NA	NA	NA	NA	NA
17	1.991094118	0.060766339	-163.1229412	NA	NA	7.78E+00	NA	NA	NA	NA	NA
22	2.15345	0.152249928	-160.2118182	NA	NA	8.08E+00	NA	NA	NA	NA	NA
23	2.001404348	0.062511338	-156.476087	NA	NA	8.47E+00	NA	NA	NA	NA	NA
19	1.876315789	0.07052448	-151.9078947	NA	NA	8.95E+00	NA	NA	NA	NA	NA
20	1.98005	0.076469199	-148.936	NA	NA	9.26E+00	NA	NA	NA	NA	NA
