N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	2.352157143	0.931740006	-150.8542857	4.14	0.152181904	0	area	1	no	coccolith	Cruciplacolithus_tenuis
6	3.02405	0.714019195	-149.5033333	NA	NA	2.06E-01	NA	NA	NA	NA	NA
6	1.850293333	0.718953952	-148.0333333	NA	NA	4.29E-01	NA	NA	NA	NA	NA
11	1.482021818	0.137538522	-146.4645455	NA	NA	6.68E-01	NA	NA	NA	NA	NA
14	2.717507143	0.498811302	-144.5157143	NA	NA	9.65E-01	NA	NA	NA	NA	NA
10	2.62334	1.218654607	-143.048	NA	NA	1.19E+00	NA	NA	NA	NA	NA
9	2.284666667	0.365403138	-141.4611111	NA	NA	1.43E+00	NA	NA	NA	NA	NA
11	2.548545455	0.378719209	-138.5409091	NA	NA	1.87E+00	NA	NA	NA	NA	NA
10	2.05286	0.4148394	-135.586	NA	NA	2.32E+00	NA	NA	NA	NA	NA
10	2.93597	2.31730038	-132.646	NA	NA	2.77E+00	NA	NA	NA	NA	NA
21	3.048580952	0.491996069	-129.6828571	NA	NA	3.22E+00	NA	NA	NA	NA	NA
6	2.506333333	0.206695875	-123.65	NA	NA	4.14E+00	NA	NA	NA	NA	NA
