N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
6	63.181	306.9179848	-151.05	3.38	0.157835049	0	area	1	no	coccolith	Cruciplacolithus_tenuis
6	77.165	378.0346896	-149.66	NA	NA	2.19E-01	NA	NA	NA	NA	NA
6	75.06433333	351.4878843	-148.1616667	NA	NA	4.56E-01	NA	NA	NA	NA	NA
9	76.98733333	350.5927335	-146.6288889	NA	NA	6.98E-01	NA	NA	NA	NA	NA
13	94.876	395.2907407	-144.7338462	NA	NA	9.97E-01	NA	NA	NA	NA	NA
9	77.61733333	631.4434658	-143.1622222	NA	NA	1.24E+00	NA	NA	NA	NA	NA
9	101.7134444	798.906966	-141.6388889	NA	NA	1.49E+00	NA	NA	NA	NA	NA
12	100.1274167	637.2994806	-138.68	NA	NA	1.95E+00	NA	NA	NA	NA	NA
11	95.09363636	262.6303799	-135.6863636	NA	NA	2.42E+00	NA	NA	NA	NA	NA
9	99.931	774.996842	-132.7788889	NA	NA	2.88E+00	NA	NA	NA	NA	NA
21	110.8791429	532.7213301	-129.6352381	NA	NA	3.38E+00	NA	NA	NA	NA	NA
