N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
6	1.03834	0.01746856	-157.7225	4.31	0.153023102	0	linear	1	no	coccolith	Cruciplacolithus_tenuis
6	1.182616667	0.000866774	-151.0733333	NA	NA	1.02E+00	NA	NA	NA	NA	NA
10	1.040434	0.005390573	-146.689	NA	NA	1.69E+00	NA	NA	NA	NA	NA
14	1.148357143	0.002929058	-144.6757143	NA	NA	2.00E+00	NA	NA	NA	NA	NA
10	1.18435	0.009605949	-143.131	NA	NA	2.23E+00	NA	NA	NA	NA	NA
9	1.174013333	0.009719321	-141.6077778	NA	NA	2.47E+00	NA	NA	NA	NA	NA
10	1.098757	0.007053242	-138.675	NA	NA	2.91E+00	NA	NA	NA	NA	NA
11	1.111604545	0.005853835	-135.6509091	NA	NA	3.38E+00	NA	NA	NA	NA	NA
9	1.09263	0.004079633	-132.7	NA	NA	3.83E+00	NA	NA	NA	NA	NA
22	1.124133182	0.009664947	-129.5568182	NA	NA	4.31E+00	NA	NA	NA	NA	NA
