#Campbell and Reyment 1978 V1											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	70.64	380.25	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	75.3	380.25	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	53.34	380.25	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	86.92	380.25	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	69.24	380.25	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	78.69	380.25	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	60.97	380.25	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	78.03	380.25	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	73.54	380.25	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	77.93	380.25	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	79.29	380.25	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	65.16	380.25	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	62.39	380.25	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	72.48	380.25	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	69.93	380.25	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	68.81	380.25	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	81.04	380.25	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	114.32	380.25	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	75.62	380.25	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	72.8	380.25	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	89.21	380.25	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	74.56	380.25	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	89.88	380.25	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	69.11	380.25	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	68.19	380.25	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	81.36	380.25	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	76.85	380.25	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	77.39	380.25	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	76.45	380.25	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	62.1	380.25	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	85.34	380.25	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	70.48	380.25	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	81.08	380.25	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	76.61	380.25	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	65.96	380.25	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	85.26	380.25	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	78.59	380.25	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	53.83	380.25	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	64.72	380.25	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	67.01	380.25	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	67.44	380.25	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	112.91	380.25	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	113.84	380.25	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	98.95	380.25	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	74.76	380.25	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	113.09	380.25	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
