#Campbell and Reyment 1978 and Reyment 1982 V5											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	13.24	10.810944	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	13.63	10.810944	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	12.09	10.810944	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	15.09	10.810944	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	14.46	10.810944	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	17.65	10.810944	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	15.19	10.810944	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	14.15	10.810944	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	15.42	10.810944	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	19.1	10.810944	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	19.29	10.810944	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	16.38	10.810944	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	14.72	10.810944	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	15.74	10.810944	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	15.11	10.810944	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	16	10.810944	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	17.39	10.810944	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	21.3	10.810944	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	19.68	10.810944	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	18.77	10.810944	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	20.88	10.810944	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	18.46	10.810944	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	18.85	10.810944	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	18.41	10.810944	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	19.35	10.810944	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	19.47	10.810944	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	19.3	10.810944	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	18.22	10.810944	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	19.04	10.810944	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	17.49	10.810944	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	19.85	10.810944	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	18	10.810944	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	20.69	10.810944	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	18.57	10.810944	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	17.21	10.810944	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	19.15	10.810944	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	18.95	10.810944	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	16.29	10.810944	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	16.77	10.810944	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	17.31	10.810944	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	17.19	10.810944	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	21.47	10.810944	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	23.54	10.810944	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	21.46	10.810944	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	19.07	10.810944	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	22.81	10.810944	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
