##Campbell and Reyment 1978 and Reyment 1982 V9											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	11.76	4.748041	3343	0.25	0.00088968	0	linear	1	no	foram	Afrobolivina_afra
12	9.86	4.748041	3317	NA	NA	2.31E-02	NA	NA	NA	NA	NA
30	8.15	4.748041	3313	NA	NA	2.67E-02	NA	NA	NA	NA	NA
28	10.12	4.748041	3301	NA	NA	3.74E-02	NA	NA	NA	NA	NA
62	10.15	4.748041	3298	NA	NA	4.00E-02	NA	NA	NA	NA	NA
31	11.17	4.748041	3290	NA	NA	4.72E-02	NA	NA	NA	NA	NA
16	10.3	4.748041	3286	NA	NA	5.07E-02	NA	NA	NA	NA	NA
16	9.94	4.748041	3283	NA	NA	5.34E-02	NA	NA	NA	NA	NA
16	9.88	4.748041	3274	NA	NA	6.14E-02	NA	NA	NA	NA	NA
15	12.03	4.748041	3271	NA	NA	6.41E-02	NA	NA	NA	NA	NA
16	10.13	4.748041	3265	NA	NA	6.94E-02	NA	NA	NA	NA	NA
16	10.63	4.748041	3253	NA	NA	8.01E-02	NA	NA	NA	NA	NA
16	8.56	4.748041	3241	NA	NA	9.07E-02	NA	NA	NA	NA	NA
12	8.54	4.748041	3239	NA	NA	9.25E-02	NA	NA	NA	NA	NA
15	7.9	4.748041	3227	NA	NA	1.03E-01	NA	NA	NA	NA	NA
12	9.43	4.748041	3221	NA	NA	1.09E-01	NA	NA	NA	NA	NA
11	10.27	4.748041	3212	NA	NA	1.17E-01	NA	NA	NA	NA	NA
26	11.37	4.748041	3209	NA	NA	1.19E-01	NA	NA	NA	NA	NA
13	10.12	4.748041	3206	NA	NA	1.22E-01	NA	NA	NA	NA	NA
26	9.54	4.748041	3200	NA	NA	1.27E-01	NA	NA	NA	NA	NA
12	12.04	4.748041	3197	NA	NA	1.30E-01	NA	NA	NA	NA	NA
39	10.13	4.748041	3194	NA	NA	1.33E-01	NA	NA	NA	NA	NA
13	9.96	4.748041	3189	NA	NA	1.37E-01	NA	NA	NA	NA	NA
18	9.47	4.748041	3183	NA	NA	1.42E-01	NA	NA	NA	NA	NA
30	9.72	4.748041	3180	NA	NA	1.45E-01	NA	NA	NA	NA	NA
17	9.46	4.748041	3178	NA	NA	1.47E-01	NA	NA	NA	NA	NA
21	9.79	4.748041	3174	NA	NA	1.50E-01	NA	NA	NA	NA	NA
42	9.04	4.748041	3166	NA	NA	1.57E-01	NA	NA	NA	NA	NA
31	9.35	4.748041	3163	NA	NA	1.60E-01	NA	NA	NA	NA	NA
28	9.39	4.748041	3160	NA	NA	1.63E-01	NA	NA	NA	NA	NA
34	10.65	4.748041	3157	NA	NA	1.65E-01	NA	NA	NA	NA	NA
13	8.77	4.748041	3154	NA	NA	1.68E-01	NA	NA	NA	NA	NA
17	11.12	4.748041	3149	NA	NA	1.73E-01	NA	NA	NA	NA	NA
14	10.04	4.748041	3141	NA	NA	1.80E-01	NA	NA	NA	NA	NA
14	9.29	4.748041	3138	NA	NA	1.82E-01	NA	NA	NA	NA	NA
22	9.25	4.748041	3132	NA	NA	1.88E-01	NA	NA	NA	NA	NA
12	8.63	4.748041	3126	NA	NA	1.93E-01	NA	NA	NA	NA	NA
14	8.41	4.748041	3125	NA	NA	1.94E-01	NA	NA	NA	NA	NA
16	8.41	4.748041	3112	NA	NA	2.06E-01	NA	NA	NA	NA	NA
13	8.95	4.748041	3100	NA	NA	2.16E-01	NA	NA	NA	NA	NA
14	10.68	4.748041	3097	NA	NA	2.19E-01	NA	NA	NA	NA	NA
15	13	4.748041	3084	NA	NA	2.30E-01	NA	NA	NA	NA	NA
29	13.09	4.748041	3075	NA	NA	2.38E-01	NA	NA	NA	NA	NA
31	11.27	4.748041	3068	NA	NA	2.45E-01	NA	NA	NA	NA	NA
15	10.07	4.748041	3065	NA	NA	2.47E-01	NA	NA	NA	NA	NA
60	12.51	4.748041	3062	NA	NA	2.50E-01	NA	NA	NA	NA	NA
