N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-2.155068087	0.071933397	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-2.070342698	0.014386679	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-2.007130362	0.0102762	5	NA	NA	5	NA	NA	NA	NA	NA
1	-1.635414381	0.071933397	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-2.071814072	0.035966699	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-1.540645081	0.071933397	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-2.254930003	0.071933397	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-2.356378938	0.035966699	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-2.466837126	0.071933397	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-2.275548279	0.023977799	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-2.207274913	0.071933397	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-1.991734721	0.014386679	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-1.971707221	0.002877336	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-1.981305365	0.023977799	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-1.564308834	0.035966699	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-2.23553244	0.035966699	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-1.936912922	0.035966699	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-2.211424315	0.071933397	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-2.344729299	0.071933397	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-2.173300243	0.035966699	8	NA	NA	8	NA	NA	NA	NA	NA
