N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-2.247058746	0.029677649	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-2.378612314	0.00593553	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-2.200489371	0.004239664	5	NA	NA	5	NA	NA	NA	NA	NA
1	-1.860853302	0.029677649	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-2.185193933	0.014838825	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-1.753278949	0.029677649	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-2.355265351	0.029677649	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-2.480922565	0.014838825	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-2.592494341	0.029677649	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-2.438087157	0.00989255	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-2.302585093	0.029677649	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-2.252213346	0.00593553	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-2.285041309	0.001187106	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-2.119653626	0.00989255	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-1.655503054	0.014838825	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-2.432597241	0.014838825	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-2.105206674	0.014838825	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-2.366501779	0.029677649	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-2.410430113	0.029677649	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-2.245398985	0.014838825	8	NA	NA	8	NA	NA	NA	NA	NA
