N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-1.142312532	0.032670575	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-0.881655487	0.006534115	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-1.118720643	0.004667225	5	NA	NA	5	NA	NA	NA	NA	NA
1	-1.238651993	0.032670575	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-0.916507223	0.016335287	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-0.874896265	0.032670575	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-0.985096298	0.032670575	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-1.04081419	0.016335287	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-0.96233467	0.032670575	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-0.825692247	0.010890192	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-1.049822124	0.032670575	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-1.141413369	0.006534115	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-0.90214145	0.001306823	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-0.911113559	0.010890192	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-0.95138193	0.016335287	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-0.958402894	0.016335287	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-1.108326215	0.016335287	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-1.199823403	0.032670575	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-1.128789456	0.032670575	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-1.047674278	0.016335287	8	NA	NA	8	NA	NA	NA	NA	NA
