N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-3.314782895	0.034878684	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-3.020330122	0.006975737	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-3.291749772	0.004982669	5	NA	NA	5	NA	NA	NA	NA	NA
1	-3.502968086	0.034878684	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-3.098307503	0.017439342	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-3.082908967	0.034878684	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-3.170085661	0.034878684	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-3.143199481	0.017439342	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-3.170085661	0.034878684	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-2.946258939	0.011626228	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-3.170085661	0.034878684	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-3.259196101	0.006975737	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-3.019573568	0.001395147	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-3.022437176	0.011626228	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-3.170085661	0.017439342	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-3.070660305	0.017439342	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-3.220925334	0.017439342	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-3.411247718	0.034878684	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-3.266550483	0.034878684	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-3.176766528	0.017439342	8	NA	NA	8	NA	NA	NA	NA	NA
