N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	0.261701308	0.00336891	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	0.295259545	0.000673782	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	0.285159832	0.000481273	5	NA	NA	5	NA	NA	NA	NA	NA
1	0.366565983	0.00336891	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	0.306813091	0.001684455	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	0.310421559	0.00336891	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	0.320221182	0.00336891	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	0.267640904	0.001684455	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	0.43502391	0.00336891	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	0.328171988	0.00112297	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	0.317987001	0.00336891	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	0.252104393	0.000673782	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	0.315468237	0.000134756	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	0.209642643	0.00112297	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	0.199910229	0.001684455	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	0.27237654	0.001684455	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	0.246025587	0.001684455	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	0.279807894	0.00336891	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	0.279231417	0.00336891	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	0.235899495	0.001684455	8	NA	NA	8	NA	NA	NA	NA	NA
