N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-1.910918559	0.003340593	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-1.843550127	0.000668119	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-1.88774182	0.000477228	5	NA	NA	5	NA	NA	NA	NA	NA
1	-1.898010855	0.003340593	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-1.874531502	0.001670296	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-1.897119985	0.003340593	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-1.864850724	0.003340593	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-1.834538413	0.001670296	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-1.771956842	0.003340593	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-1.792165049	0.001113531	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-1.802269153	0.003340593	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-1.865833296	0.000668119	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-1.801939336	0.000133624	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-1.901219284	0.001113531	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-2.01858191	0.001670296	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-1.839818096	0.001670296	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-1.866274634	0.001670296	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-1.931616421	0.003340593	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-1.858396872	0.003340593	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-1.892959383	0.001670296	8	NA	NA	8	NA	NA	NA	NA	NA
