N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-0.092170692	0.048331953	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-0.325154015	0.009666391	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-0.193350808	0.006904565	5	NA	NA	5	NA	NA	NA	NA	NA
1	-0.225367071	0.048331953	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-0.11336283	0.024165977	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-0.212510543	0.048331953	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-0.10038535	0.048331953	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-0.124743667	0.024165977	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-0.125594718	0.048331953	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-0.162463547	0.016110651	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-0.095410185	0.048331953	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-0.260346494	0.009666391	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-0.31325422	0.001933278	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-0.13837858	0.016110651	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-0.091075307	0.024165977	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-0.196991796	0.024165977	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-0.168373425	0.024165977	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-0.154895679	0.048331953	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-0.065675815	0.048331953	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-0.071946959	0.024165977	8	NA	NA	8	NA	NA	NA	NA	NA
