N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	0.708270154	0.009337682	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	0.657415939	0.001867536	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	0.628089796	0.001333955	5	NA	NA	5	NA	NA	NA	NA	NA
1	0.687413471	0.009337682	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	0.769976025	0.004668841	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	0.587999583	0.009337682	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	0.68482836	0.009337682	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	0.727174876	0.004668841	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	0.45665615	0.009337682	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	0.710232474	0.003112561	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	0.640901456	0.009337682	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	0.695947144	0.001867536	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	0.682614328	0.000373507	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	0.623692841	0.003112561	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	0.679708352	0.004668841	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	0.63758021	0.004668841	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	0.762639979	0.004668841	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	0.784841216	0.009337682	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	0.884722102	0.009337682	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	0.756750174	0.004668841	8	NA	NA	8	NA	NA	NA	NA	NA
