N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-0.496313722	0.006812083	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-0.397119054	0.001362417	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-0.43192828	0.000973155	5	NA	NA	5	NA	NA	NA	NA	NA
1	-0.357545641	0.006812083	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-0.363824941	0.003406042	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-0.328600527	0.006812083	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-0.442153843	0.006812083	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-0.330031168	0.003406042	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-0.510964532	0.006812083	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-0.389666356	0.002270694	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-0.438535009	0.006812083	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-0.331754015	0.001362417	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-0.36929051	0.000272483	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-0.458652312	0.002270694	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-0.415467516	0.003406042	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-0.454668141	0.003406042	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-0.418336828	0.003406042	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-0.294393583	0.006812083	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-0.352475902	0.006812083	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-0.394825554	0.003406042	8	NA	NA	8	NA	NA	NA	NA	NA
