N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-2.172470362	0.001691935	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-2.138739441	0.000338387	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-2.172887103	0.000241705	5	NA	NA	5	NA	NA	NA	NA	NA
1	-2.264461021	0.001691935	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-2.1811715	0.000845967	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-2.207274913	0.001691935	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-2.185049032	0.001691935	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-2.101995027	0.000845967	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-2.207274913	0.001691935	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-2.120263536	0.000563978	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-2.120263536	0.001691935	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-2.117898068	0.000338387	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-2.117271276	6.77E-05	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-2.11091598	0.000563978	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-2.218465692	0.000845967	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-2.112259265	0.000845967	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-2.112259265	0.000845967	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-2.211424315	0.001691935	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-2.137665812	0.001691935	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-2.128964674	0.000845967	8	NA	NA	8	NA	NA	NA	NA	NA
