N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-1.204417496	0.00646416	3.3	4.7	NA	3.3	linear	10	yes	bryozoa	M_auriculatum
5	-1.054531201	0.001292832	3.35	NA	NA	3.35	NA	NA	NA	NA	NA
7	-1.060069568	0.000923451	5	NA	NA	5	NA	NA	NA	NA	NA
1	-1.04496952	0.00646416	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
2	-1.133740494	0.00323208	5.45	NA	NA	5.45	NA	NA	NA	NA	NA
1	-0.91660333	0.00646416	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
1	-1.126897464	0.00646416	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
2	-1.057273174	0.00323208	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
1	-0.967584026	0.00646416	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
3	-1.099958661	0.00215472	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
1	-1.079242375	0.00646416	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
5	-1.027757636	0.001292832	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
25	-1.051869136	0.000258566	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
3	-1.082309107	0.00215472	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-1.095176517	0.00323208	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
2	-1.092290006	0.00323208	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-1.181019928	0.00323208	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
1	-1.079242375	0.00646416	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
1	-1.237163316	0.00646416	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
2	-1.151501675	0.00323208	8	NA	NA	8	NA	NA	NA	NA	NA
