N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-2.211424315	0.016882074	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-2.192184054	0.008441037	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-2.396066878	0.016882074	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-2.376450305	0.016882074	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-2.272750353	0.008441037	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-2.270520251	0.003376415	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-2.415161902	0.008441037	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-1.997577826	0.008441037	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-2.466837126	0.016882074	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-2.359387223	0.001688207	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-2.080242182	0.016882074	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-2.473976864	0.002411725	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-2.205418727	0.001205862	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-2.288679529	0.000734003	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-2.274722843	0.00140684	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-2.224783567	0.001688207	8	NA	NA	8	NA	NA	NA	NA	NA
