N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-2.466837126	0.019736414	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-2.360883565	0.009868207	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-2.50787263	0.019736414	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-2.502172037	0.019736414	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-2.426453113	0.009868207	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-2.39869566	0.003947283	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-2.511998278	0.009868207	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-2.073456821	0.009868207	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-2.592494341	0.019736414	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-2.496786379	0.001973641	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-2.163769225	0.019736414	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-2.578990431	0.002819488	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-2.319155939	0.001409744	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-2.43601906	0.000858105	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-2.42626601	0.001644701	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-2.33513962	0.001973641	8	NA	NA	8	NA	NA	NA	NA	NA
