N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-0.597837001	0.031678818	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-0.630312407	0.015839409	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-0.970425792	0.031678818	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-0.344679211	0.031678818	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-0.602168775	0.015839409	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-0.680526211	0.006335764	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-0.500203457	0.015839409	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-0.687582228	0.015839409	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-0.736253029	0.031678818	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-0.616920497	0.003167882	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-0.470003629	0.031678818	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-0.60774371	0.004525545	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-0.725649255	0.002262773	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-0.743324345	0.00137734	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-0.564412846	0.002639902	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-0.74823067	0.003167882	8	NA	NA	8	NA	NA	NA	NA	NA
