N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-2.718100537	0.036063489	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-2.75040347	0.018031745	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-2.940987063	0.036063489	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-2.416707915	0.036063489	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-2.74958848	0.018031745	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-2.759270941	0.007212698	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-2.580140842	0.018031745	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-2.812390404	0.018031745	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-2.856916405	0.036063489	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-2.733122775	0.003606349	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-2.590267165	0.036063489	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-2.72535612	0.005151927	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-2.812382533	0.002575964	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-2.83666841	0.001567978	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-2.674360477	0.003005291	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-2.860352048	0.003606349	8	NA	NA	8	NA	NA	NA	NA	NA
