N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	0.154436353	0.003848282	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	0.171613153	0.001924141	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-0.031207383	0.003848282	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	0.300516336	0.003848282	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	0.269766102	0.001924141	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	0.241614509	0.000769656	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	0.282891093	0.001924141	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	0.309155629	0.001924141	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	0.348541961	0.003848282	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	0.268138063	0.000384828	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	0.223143551	0.003848282	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	0.242139962	0.000549755	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	0.236929574	0.000274877	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	0.246707332	0.000167317	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	0.272585654	0.00032069	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	0.246632819	0.000384828	8	NA	NA	8	NA	NA	NA	NA	NA
