N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-1.966112856	0.004544263	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-1.948864639	0.002272131	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-2.004823359	0.004544263	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-1.771956842	0.004544263	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-1.877468667	0.002272131	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-1.837144509	0.000908853	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-1.797531786	0.002272131	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-1.815568247	0.002272131	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-1.771956842	0.004544263	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-1.847954491	0.000454426	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-1.897119985	0.004544263	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-1.875562531	0.00064918	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-1.849976821	0.00032459	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-1.846617986	0.000197577	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-1.837395031	0.000378689	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-1.86560958	0.000454426	8	NA	NA	8	NA	NA	NA	NA	NA
