N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	0.849720197	0.012465556	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	0.752543583	0.006232778	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	0.827845368	0.012465556	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	0.654272313	0.012465556	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	0.650319261	0.006232778	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	0.627692227	0.002493111	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	0.814838145	0.006232778	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	0.937605798	0.006232778	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	0.894729412	0.012465556	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	0.781208892	0.001246556	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	0.681104051	0.012465556	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	0.773227629	0.001780794	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	0.761163615	0.000890397	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	0.797565108	0.000541981	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	0.82123219	0.001038796	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	0.810119217	0.001246556	8	NA	NA	8	NA	NA	NA	NA	NA
