N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-0.371168712	0.007592117	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-0.419682207	0.003796059	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-0.26041429	0.007592117	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-0.341826999	0.007592117	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-0.516832967	0.003796059	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-0.434482308	0.001518423	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-0.377864399	0.003796059	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-0.103977873	0.003796059	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-0.128414804	0.007592117	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-0.398778982	0.000759212	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-0.248461359	0.007592117	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-0.408574592	0.001084588	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-0.378048438	0.000542294	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-0.335936611	0.000330092	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-0.326595852	0.000632676	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-0.363970533	0.000759212	8	NA	NA	8	NA	NA	NA	NA	NA
